song_id,title,artist,genre,collection_status,collection_method,image_width,image_height,image_format,size_bytes
RMVM_S_23a8e13e19,Liên Khúc Thiên Sứ Tình Yêu (Remix),Đan Trường,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,42356
RMVM_S_22491be421,Ước Mơ Của Mẹ (Beat),Văn Mai Hương,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,28417
RMVM_S_796c5e6758,Ai Cho Tôi Tình Yêu,"Khánh Duy, Nhã Ca",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,47192
RMVM_S_94b73a226f,Cơn Mưa Cuối Cùng,Elty,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,300,300,JPEG,5638
RMVM_S_51d19950cf,Hẹn Ước Cổ Loa Thành,Lý Anh Khoa,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46111
RMVM_S_65e58b6a0a,Tết Sẻ Chia - Xuân Hạnh Phúc,"Tuyết Mai, Various Artists",POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44063
RMVM_S_05b9e2066f,Bóng Cả,Mây Trắng,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,41283
RMVM_S_44ec610f09,LK Cánh Thiệp Hồng Ngang Trái,"Hoàng Như Ngọc, Cao Phi Long",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,56095
RMVM_S_8139832583,Bên Cầu Ô Thước,Loan Châu,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,46982
RMVM_S_481cea4d63,Đành Để Em Đi,TBEAR,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,49685
RMVM_S_1b83aaff43,Mưa Trong Lòng (DJ Future Remix),Trịnh Đình Quang,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,44861
RMVM_S_98d2ba4086,Yêu Thầm Phía Sau Em (Beat),Lương Chấn Nam,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,35652
RMVM_S_099fb5288b,Biển Mặn Tình Em,Thanh Vinh,BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,48424
RMVM_S_c03e92531b,Xin Em Đừng Khóc Vu Quy (Version 2),"Shark Hùng Anh, Huỳnh Thật",BOLERO_TRUTINH,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,50632
RMVM_S_1a89a22057,Khúc Ca Mùa Đông,Dương Triệu Vũ,INSTRUMENTAL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,51479
RMVM_S_beb8fafe4e,Liên Khúc Ai Đưa Em Về - Mùa Thu Lá Bay,Bằng Cường,RB_SOUL,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45190
RMVM_S_37ab32104a,Lk: Ướt Mi,Thanh Hà,POP_BALLAD,AVAILABLE,VERIFIED_PHYSICAL_IMAGE,720,378,JPEG,45321
