song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement
RMVM_S_3337d81c24,Hai Lời Xin Lỗi,Lương Gia Huy,ART_f51be84ba3,Một Tuần Giận Nhau,ALB_d4586ce7ca,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/4de09cd1852316f7cb999047cf11a58a?authen=exp=1772900208~acl=/4de09cd1852316f7cb999047cf11a58a*~hmac=668da63d9ab3e818aef0c698a7384214,,,https://photo-playlist-zmp3.zadn.vn/s1/v2/background-playlist?src=HavtoclCgWuG7IRoZqPEuxZAm1I8G4xifDB2SDzL1Qxjd94yrnX9wVo0o6wA2KdfiO61RuqEIUsnquLaZ04Sv-RTYZID0KQmjzkCPDy5HukttTuAs0T5WhdOnLYGL4d4wzQKEznHGz7ir8f3Zrb5dwNNnms8LHtHj9o9GwKMJjEm75l-WDUj9xSSJtPLO8ZaVG&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW66ECID,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_b10c17572c,Chỉ Vì Giận Nhau,Tâm Minhon,ART_4b2aca1d40,Những Ngày Qua Hạnh Phúc,ALB_c849df0fd5,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/c9b342dbb926d1c63b31edce42004aac?authen=exp=1772900208~acl=/c9b342dbb926d1c63b31edce42004aac*~hmac=2a8b092a512fcab1ea93b7f233339b56,,,https://photo-playlist-zmp3.zadn.vn/s1/v2/background-playlist?src=HavtoclCgWuG7IRgYbJbUfxM9QAeKwa-qzHkuE4T-dBRcIAdy06ZSOQ98gUyM-qXW8PtekvTu2M6r7QYvmZeAeo79QZjNUehre4dnBvPka7HXIt5lLQj7vJQ8OFlMFnysDyhbkXQuWIBrotOeLclIepRTPQm4k44gf6k3tfQLdoFaR-bDy2yUqvbUgfr8dq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW60W0OI,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_ab4dc2f9d5,Dấu Vết Mùa Đông,Đức Thịnh,ART_383670474b,Dấu Vết Mùa Đông (Single),ALB_40fca590c8,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/9f0411237bf2636e2faa69b8e9f55c4b?authen=exp=1772900355~acl=/9f0411237bf2636e2faa69b8e9f55c4b*~hmac=bb6623275c6ae70a45200b4b4839c6f2,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IPwsHSpO-FSoRjRZEnbQaLkzr_7hYma5YB_4elfFMHPQEaIXkbeP5GZx0oElsrjKoQx0zgyQ6nJTEW0tBazFLLplLo9lpqnJ7lz3uNvRpyT6B4AZ-neFGDWuWA9eY4-JYxb3j7iC7K0OCJDKMi1jEma2r9pglR88MLcLLe8OcBMXAy&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWZDWD7A,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_15c7cc0cf4,Anh Có Muốn Yêu Lại Từ Đầu?,Thu Vũ,ART_cb028a48e4,,,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/8117efcbb7682116660b0f5b8b9ccc3b?authen=exp=1772548681~acl=/8117efcbb7682116660b0f5b8b9ccc3b*~hmac=1987b236d56265562040d0726f821d21,,,https://photo-playlist-zmp3.zadn.vn/s1/v2/background-playlist?src=HavtoclCgWuG7IRg8OEe3Bt19936HkDEz8ztt8z8-mMbx3lPXLty1xkKQD634xK4zjfltTjTf4-ub4kHYL-cucEKHIVRn7hvedONuuwzzR9jzp8YOFqdEHdI6MZwdiBd8dq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZZADU7IZ,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_a4b75f422b,Vẫn Mãi Thế Hệ Tụi Mình,Phạm Toàn Thắng,ART_7e3a44a228,Vẽ,ALB_03c1f27104,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/3bf7a790d168fcfacc9078370d8d2cfa?authen=exp=1772900355~acl=/3bf7a790d168fcfacc9078370d8d2cfa*~hmac=78f061626cbcd139d77c5aae323c173d,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IRk8HSo_nNSo22FbmYmWXH7kdIHZYW1M4pnDjZ0UqrG0RrnoTmY7GqKlN60ZJuQ2Xkw8OVNQquE6EibreO-JGnDw222rs4R24hf7TBNRd01IkyGqjPn8qaVurQ0s2101HhfGuVQFZXM4kyDpjbpTb4UjqFVaZquOjqtokTJob2lb5fTBDjGk-Sz0LcBi-NXsxWyc7tL8A_-MUq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW677966,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_85029bc483,Chờ Đợi Một Điều Gì,Việt My,ART_d24715078a,Trắng Xóa,ALB_beef91de37,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/9587391767d1bc9a4c8a432b9cf44cc3?authen=exp=1772900359~acl=/9587391767d1bc9a4c8a432b9cf44cc3*~hmac=7c5dbb29704823a4963df5b1884a889f,,,,sunbv56_song_dataset+vietlyrics,ZWZDFCIF,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_1e91d2f25e,Anh Là Tất Cả,Duy Uyên,ART_7e4df20802,Hỡi Người Tình,ALB_734b262619,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/c5e18e999a271a27bb522cb587c80898?authen=exp=1772900353~acl=/c5e18e999a271a27bb522cb587c80898*~hmac=1271a5bb287cf330f22c1d3e0e36eafd,,,https://photo-playlist-zmp3.zadn.vn/v2/background-playlist?src=HavtoclCgWuG7IRwF8-e7nodhC5dO20TL-NbZpGiA50RelIJRN5r5nkYxvLmAdb77gAonYKeBazA-hR792T-Jnx_jiWcTtv1ICFXmY0VTaLBmUt0F40p5qU7lyvj8tyIJPAup7DRB1fBtF7FFXKh5XEIu8HmMmzQGP3jARXR5tXR5SteGH_P-o9z&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWZDDF7U,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_9365a4584c,Gửi Tình Cho Gió,Lâm Chí Khanh,ART_d144927004,,,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/d14ee9c783fbd5bd0900ecf79ccda8dc?authen=exp=1772900360~acl=/d14ee9c783fbd5bd0900ecf79ccda8dc*~hmac=d0c3e8d66924cdc9d0a9ea98185473fe,,,https://photo-playlist-zmp3.zadn.vn/v2/background-playlist?src=HavtoclCgWuG7IRoYbJbOf3NY7_fTqwktlJ2CgLp1UoNkf5-hoTUkfU-WoMlUXYwbwI2EVPyJUYMfDLl_Yn9kSBrq3huB4o_aF7JEFmeIBZwyjKxbIj2lVdnr2FAQXsnlwFQSgac6BkgfDXiqNKGlUJjso6VSXpbgloGRz5GtsGbqb60lvMHMCOzLuU_aP3qio9z&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWZBZFU0,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_a4c13bd9b0,Chưa Vơi Câu Hò,Đan Trường,ART_d7d6ae2597,Đến Một Lúc Nào Đó,ALB_5b648adfda,,,unknown,TIER_C,,unverified_null,,https://a128-z3.zmdcdn.me/d824a838eb15cf7caa7f62558a6b1d9d?authen=exp=1772900594~acl=/d824a838eb15cf7caa7f62558a6b1d9d*~hmac=17d02791bbaf48b80935205d8854d3ac,,,https://photo-playlist-zmp3.zadn.vn/v2/background-playlist?src=HavtoclCgWuG7IPwsPVcwjGEZkfiNhqqKfS_fcSL_tqSn7EkAbcuR02TB_DWMRXw2DCkg6WBiIbIqtgiELxY9GBMVAnk3Ufz1Dvn_MrKW7m6XnZuQ5g2VW6VHhu_LiGi3yubyZfSqIiDq5sXCbgVOWwT4wO-0j5pHTDTW7J-Gr4DGoj0FOZ6CyOMICjSJyG6&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWZ97BF0,needs_manual_annotation,pipeline_v2_expansion,
RMVM_S_23a8e13e19,Liên Khúc Thiên Sứ Tình Yêu (Remix),Đan Trường,ART_d7d6ae2597,,,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/6c11763f40c0b96caa82a77a6006c8bd?authen=exp=1772900355~acl=/6c11763f40c0b96caa82a77a6006c8bd*~hmac=9ba9e9bf209fb248fc60ef2c2e8cb2c4,,,https://photo-playlist-zmp3.zadn.vn/s3/v2/background-playlist?src=HavtoclCgWuG7IPwsPVcwjGEZkfiNhqqKfS_fcSL_tqSn7EiCqwfVHZMAAXkNAbzLjGmhpbR-2nPXM2kDrp_AWtJOlXZ0Vnu3jjahJHJgK9SZ3F3DrAiH5kAB9vo1g022OHz_Ju3gXSEXcE5RGkiMKU5Bijg1_GNLivWXKDC3PzqX-X7xjObr-DLugGGq6n7g81hrwMeQGcKOvvwP_qGucnpqpjDiL_s&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWA96EUO,cross_verified,pipeline_v2_expansion,1.0
