song_id,title,artist,artist_id,genre,label_source,label_confidence,other_reason,audio_path,audio_status,lyrics_path,lyrics_status,cover_path,cover_status,release_year,year_status,tier,modality_state,dataset_version,release_year_status,release_year_source,lyrics_available,cover_available,audio_available,version_type,source,source_id
RMVM_S_ab4dc2f9d5,Dấu Vết Mùa Đông,Đức Thịnh,ART_383670474b,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZWZDWD7A
RMVM_S_a8389a10d9,Bên Em Trọn Đời,Hồ Nam,ART_078279a063,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZW789EFC
RMVM_S_e6b45ffa98,Cạm Bẫy Tình Yêu,"Bằng Kiều, Phương Thanh",ART_a1378a2c18,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,Z78BZ0F9
RMVM_S_4c820ffdad,Cơn Gió Hạnh Phúc (Remix Version),"Hà Leona, DJ PMT",ART_bc188047c3,DANCE_EDM,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZU66OC00
RMVM_S_3c3c3f5b01,LK Mùa Xuân Ơi,"Lady Phương Thùy, Lâm Chấn Huy",ART_eebaad3364,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZW78FF7W
RMVM_S_1f709cb709,Đến Với Con Người Việt Nam Tôi,Phong Vũ,ART_878c94d90f,BOLERO_TRUTINH,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZWA80B6U
RMVM_S_a66f52e099,Mùa Đông Là Để Yêu,Isaac Thái,ART_84028ff2d2,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZW78BD9I
RMVM_S_ad54e697be,LK Đôi Mắt Người Xưa - Chim Trắng Mồ Côi,Hồ Việt Trung,ART_c9878142a1,DANCE_EDM,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,Z6DA6E6B
RMVM_S_92a9aa9270,Liên Khúc Đàn Bà - Đêm Vũ Trường (Remix),Kasim Hoàng Vũ,ART_1b2b60e16b,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZWAD8ZUD
RMVM_S_36254282a8,Anh Chưa Thương Em Đến Vậy Đâu & Như Những Phút Ban Đầu,"Myra Trần, Võ Hạ Trâm",ART_25e42253a8,POP_BALLAD,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,Z6BZ7WBD
