song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement,rejection_reason
,Ai Xuối Em Phụ Tình Anh,,,,,,,,,,,,,,,,vietlyrics,ZW78IFAB,,,,MISSING_TITLE_OR_ARTIST
,Bước Ra Từ Cuộc Chơi,,,,,,,,,,,,,,,,vietlyrics,ZW77F7WE,,,,MISSING_TITLE_OR_ARTIST
,Cho Nhau,,,,,,,,,,,,,,,,vietlyrics,ZWA978Z9,,,,MISSING_TITLE_OR_ARTIST
,Chưa Kịp Trao,,,,,,,,,,,,,,,,vietlyrics,ZW7U90BU,,,,MISSING_TITLE_OR_ARTIST
,Con Tim Mồ Côi,,,,,,,,,,,,,,,,vietlyrics,ZWZ987WD,,,,MISSING_TITLE_OR_ARTIST
,Cuốn Mãi Trôi Xa Tan Đi,,,,,,,,,,,,,,,,vietlyrics,ZW7UCFO0,,,,MISSING_TITLE_OR_ARTIST
,Em Còn Nhớ Huế Không,,,,,,,,,,,,,,,,vietlyrics,ZWZCAAIC,,,,MISSING_TITLE_OR_ARTIST
,Em Khoe Với Mẹ,,,,,,,,,,,,,,,,vietlyrics,ZW780BOZ,,,,MISSING_TITLE_OR_ARTIST
,Em Sẽ Buông Tay,,,,,,,,,,,,,,,,vietlyrics,ZW7UBA7U,,,,MISSING_TITLE_OR_ARTIST
,H'zen Lên Rẫy,,,,,,,,,,,,,,,,vietlyrics,ZW66UWZD,,,,MISSING_TITLE_OR_ARTIST
,Hoàng Tử Trong Mơ,,,,,,,,,,,,,,,,vietlyrics,ZWZFBCU0,,,,MISSING_TITLE_OR_ARTIST
,Hãy Hiểu Cho Anh,,,,,,,,,,,,,,,,vietlyrics,ZW78WC7C,,,,MISSING_TITLE_OR_ARTIST
,Hết Duyên Là Ý Trời,,,,,,,,,,,,,,,,vietlyrics,ZW7UA9FZ,,,,MISSING_TITLE_OR_ARTIST
,Khi Tình Đã Xa,,,,,,,,,,,,,,,,vietlyrics,ZW6UD0FF,,,,MISSING_TITLE_OR_ARTIST
,Không Làm Gì,,,,,,,,,,,,,,,,vietlyrics,ZW7U9WCE,,,,MISSING_TITLE_OR_ARTIST
,Khúc Chiều Thu,,,,,,,,,,,,,,,,vietlyrics,ZW77F6BA,,,,MISSING_TITLE_OR_ARTIST
,Kỉ Niệm Trôi Qua,,,,,,,,,,,,,,,,vietlyrics,ZW78IBC8,,,,MISSING_TITLE_OR_ARTIST
,LK Biết Đến Bao Giờ,,,,,,,,,,,,,,,,vietlyrics,ZW77FFC8,,,,MISSING_TITLE_OR_ARTIST
,LK Một Chuyến Xe Hoa - Vì Trong Nghịch Cảnh,,,,,,,,,,,,,,,,vietlyrics,ZW7UD70W,,,,MISSING_TITLE_OR_ARTIST
,Làm Người Yêu Em Nhé Baby (Cover),,,,,,,,,,,,,,,,vietlyrics,ZW78WIAA,,,,MISSING_TITLE_OR_ARTIST
,Lời Cuối Tình Yêu 2,,,,,,,,,,,,,,,,vietlyrics,ZW7UB8UE,,,,MISSING_TITLE_OR_ARTIST
,Lửa Gần Rơm,,,,,,,,,,,,,,,,vietlyrics,ZW6UC800,,,,MISSING_TITLE_OR_ARTIST
,Mãi Mãi Tình Say,,,,,,,,,,,,,,,,vietlyrics,ZW78W69B,,,,MISSING_TITLE_OR_ARTIST
,Mưa Rừng,,,,,,,,,,,,,,,,vietlyrics,ZW78EOOA,,,,MISSING_TITLE_OR_ARTIST
,Ngàn Năm Thương Nhớ,,,,,,,,,,,,,,,,vietlyrics,ZWZ99AZA,,,,MISSING_TITLE_OR_ARTIST
,Người Đàn Ông Của Đời Anh,,,,,,,,,,,,,,,,vietlyrics,ZW7U9UA0,,,,MISSING_TITLE_OR_ARTIST
,Nhật Ký Chú Cuội,,,,,,,,,,,,,,,,vietlyrics,ZWZ999FU,,,,MISSING_TITLE_OR_ARTIST
,Những Điều Hạnh Phúc,,,,,,,,,,,,,,,,vietlyrics,ZW7UBD6B,,,,MISSING_TITLE_OR_ARTIST
,Phút Ban Đầu,,,,,,,,,,,,,,,,vietlyrics,Z6BZ7WBD,,,,MISSING_TITLE_OR_ARTIST
,Thật Lòng Anh Chưa Quên,,,,,,,,,,,,,,,,vietlyrics,ZW7UDOAW,,,,MISSING_TITLE_OR_ARTIST
,Trở Lại Huế Xưa,,,,,,,,,,,,,,,,vietlyrics,ZWZF90Z9,,,,MISSING_TITLE_OR_ARTIST
,Điều Phải Chứng Minh,,,,,,,,,,,,,,,,vietlyrics,ZW77FUC7,,,,MISSING_TITLE_OR_ARTIST
,Đồ Ngốc Anh Yêu Em,,,,,,,,,,,,,,,,vietlyrics,ZW78I796,,,,MISSING_TITLE_OR_ARTIST
,Đời Sống Không Già Vì Có Chúng Em,,,,,,,,,,,,,,,,vietlyrics,ZWZD96Z0,,,,MISSING_TITLE_OR_ARTIST
,Ai Hiểu Được Tình Yêu,,,,,,,,,,,,,,,,vietlyrics,ZW77F7OI,,,,MISSING_TITLE_OR_ARTIST
,Ai Hiểu Được Tình Yêu (Beat),,,,,,,,,,,,,,,,vietlyrics,ZW77F7OW,,,,MISSING_TITLE_OR_ARTIST
,Ai Ngoài Cánh Cửa,,,,,,,,,,,,,,,,vietlyrics,ZWZD96UF,,,,MISSING_TITLE_OR_ARTIST
,Alibaba (EDM Version),,,,,,,,,,,,,,,,vietlyrics,ZW7U9O9A,,,,MISSING_TITLE_OR_ARTIST
