song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement
RMVM_S_23a8e13e19,Liên Khúc Thiên Sứ Tình Yêu (Remix),Đan Trường,ART_d7d6ae2597,,,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/6c11763f40c0b96caa82a77a6006c8bd?authen=exp=1772900355~acl=/6c11763f40c0b96caa82a77a6006c8bd*~hmac=9ba9e9bf209fb248fc60ef2c2e8cb2c4,,,https://photo-playlist-zmp3.zadn.vn/s3/v2/background-playlist?src=HavtoclCgWuG7IPwsPVcwjGEZkfiNhqqKfS_fcSL_tqSn7EiCqwfVHZMAAXkNAbzLjGmhpbR-2nPXM2kDrp_AWtJOlXZ0Vnu3jjahJHJgK9SZ3F3DrAiH5kAB9vo1g022OHz_Ju3gXSEXcE5RGkiMKU5Bijg1_GNLivWXKDC3PzqX-X7xjObr-DLugGGq6n7g81hrwMeQGcKOvvwP_qGucnpqpjDiL_s&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWA96EUO,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_22491be421,Ước Mơ Của Mẹ (Beat),Văn Mai Hương,ART_7dbfa9a88e,Ước Mơ Của Mẹ (Beat) (Single),ALB_42e0802b98,v-pop,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/6adf157ee7816fba67215dbe2c4be910?authen=exp=1772548718~acl=/6adf157ee7816fba67215dbe2c4be910*~hmac=6e3b4287d6d58bee98bfab26e00ca5dc,,,https://photo-playlist-zmp3.zadn.vn/s3/v2/background-playlist?src=HavtoclCgWuG7IReZNNcU9d_8UY8qZ-US5Vs30MUDDKo7hXVIPPvcNKF-4m3qdcVTLZuIXhGDyns0gfCJTrddN44-Hv9Ys_D80RuH4_PDCSa1lnP5vqros9KyWXqqJ31TrFm5Wo2ECSv6lDRGeKqdtSBk1KC9hb4xbPqrFfxUqJWSMvJsBgD0Zle0veWPinUAI9z&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,Z6E7AFD7,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_796c5e6758,Ai Cho Tôi Tình Yêu,"Khánh Duy, Nhã Ca",ART_f0fdfb450c,Tâm Sự Với Anh,ALB_446b683e55,nhạc trữ tình,BOLERO_TRUTINH,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/d2e071b756951017cae754d7574a1427?authen=exp=1772900604~acl=/d2e071b756951017cae754d7574a1427*~hmac=5bc8c103524f66258ad2ed0e9cffa91e,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IRr8JKfAn3-m-umEKr-9xeWRLuIx_yhsoqc75kXh6VJO6fRIhtrP8vtQbi1wRjcstSxNGA_lZFRA3rO1xQyPzGXFbWEjkeoWtbjD5daw5I0SsmqNUho1yOZO78FvADaYYPgPmZclHpPBcmfGUNmKjuYD6TGhhuS-cak1dcelWjHicToxjzxHMrHajyiYW1z&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW6UCD6A,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_94b73a226f,Cơn Mưa Cuối Cùng,Elty,ART_692f623056,,,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/fdaf3a869715b9c59c6ff26a9b57f713?authen=exp=1772900611~acl=/fdaf3a869715b9c59c6ff26a9b57f713*~hmac=a9aeb26448f9c748b7ab5e83ea64a584,,,https://photo-playlist-zmp3.zadn.vn/s3/v2/background-playlist?src=HavtoclCgWuG7IRx9OBnQL1BCx1doxyw708zg2oQt7OP22YlBeIa9H4EPkOjoUeY7LOezsQ7f0JvpMIKxU1wHPH8eHHsCcQ4R1fnMcSYVG&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZZADU6C7,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_51d19950cf,Hẹn Ước Cổ Loa Thành,Lý Anh Khoa,ART_772c8290b0,Hẹn Ước Cổ Loa Thành (Single),ALB_6dd2f1d1b8,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/ffe325ae9a9b7f1f5c4bcb256bc8df4d?authen=exp=1772900378~acl=/ffe325ae9a9b7f1f5c4bcb256bc8df4d*~hmac=6e671ebe93a5e6850c50750edc438500,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IRoYake0xt89lYCJEbg-OKhiyu5fpcrZMR_YHJdVl_DPls94-TyuijyheWPwodXotAlt1FiBU3ESFkF4Rfvu9Xn-uyMxsMyZIRtoKJXDD_18_tSG-Cgfv8h-v8Au6VfbIUZt1khAQUuv2D7FMfLiJT_VelyaYzfWXpJNmYIDsuWdEbe8dq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW9DZWCW,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_65e58b6a0a,Tết Sẻ Chia - Xuân Hạnh Phúc,"Tuyết Mai, Various Artists",ART_a7c602b130,,,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/1404507cdee091e00439ce515874be9f?authen=exp=1772900382~acl=/1404507cdee091e00439ce515874be9f*~hmac=5d6b70d1df0c7de72b11f642a9e8438e,,,https://photo-playlist-zmp3.zadn.vn/s1/v2/background-playlist?src=HavtoclCgWuG7IRgF8zfuDeGvntYack1cHMiNwlSECsHME0OkfmiXzDOu1Yvd2oOWaIr4EB9BC7U5heGlymbn8CJwHVkddx3ZqBWGh3DO9YPGUm4uiCn-zL4vX7bmI-3XbxpHhgPVuAA1hrNyTSniqc687SmFczzqlM2fU9_33YRpDTBO4bPizWOLctfqwYrSu9b9tq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWA8U8U9,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_05b9e2066f,Bóng Cả,Mây Trắng,ART_1144cc9dfe,Ước Mơ Thành Sự Thật,ALB_87132a8d0f,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/5facecca592628fdcbbb21214cb09833?authen=exp=1772900391~acl=/5facecca592628fdcbbb21214cb09833*~hmac=f8d9bba3ed2a5a5a820ccc76bd3c1aa0,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IRpYbJnOuVDlcbnI7Vx186r8ZC1EQX8YVXkT10byHhKxMvqMIUz7DE_FdLR8xqKqUizTGjml1JHk3KhMtUqIu2_CKrQ8h4dXBGnIrmghtZ7upqD3YJ-6ulcDnW99k1ZsEunLa0bhItVucaOKMxZO_W3u5HqZHFi9O21VG&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWZBAAE6,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_44ec610f09,LK Cánh Thiệp Hồng Ngang Trái,"Hoàng Như Ngọc, Cao Phi Long",ART_c7946223ef,Tình Khúc Dang Dở,ALB_cfa06c9833,nhạc trữ tình,BOLERO_TRUTINH,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/c6c364f195f5b18bc359993882a46fdd?authen=exp=1772900390~acl=/c6c364f195f5b18bc359993882a46fdd*~hmac=aeaf8be0e4768f8143bd76e7689d66c5,,,https://photo-playlist-zmp3.zadn.vn/v2/background-playlist?src=HavtoclCgWuG7IRs9ZKeA1Z-oF27fKOEkQzJCuDetQEPuXmpa67ReuNb6tJ-8fUepgTIEgrkd-M2u4Ccz3d2z8BW3YBfFiAgYBTVA-awmFxHi0XyxcwI_zMyNtYyDCcgre1MBhvRmQtHWrelfWA4-Dt5227tOSZzrz0F8-aPc_NHdaOWf5US-OdGLslg6RMGax7OWQGoLcMLi1bkIokNblDxgaZDi4gVzJM33_YixXvf8dq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW6D9DEU,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_8139832583,Bên Cầu Ô Thước,Loan Châu,ART_330a874d37,,,nhạc trữ tình,BOLERO_TRUTINH,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/c39ca2c380f0f56bc75a4731792d5cd1?authen=exp=1772900392~acl=/c39ca2c380f0f56bc75a4731792d5cd1*~hmac=731cca23489cbeb81dee40c727f26040,,,https://photo-playlist-zmp3.zadn.vn/s1/v2/background-playlist?src=HavtoclCgWuG7IRo9fVcOZmKYt0GtGdY9L_9ELwEHUfe4uueGjSMjteJZcOLcn3YV42EC4QT4E4j58XaHPuHx2j6tMz3oqAx8nUpEad8BByW6hO_Jzzo_t4My6r1ZX6pT1pbQaEGQU1y6giZGDqdvt12vJ8Basd0aTAfK8lOlKUd4z1ZtgmM5JUc0pvZ8dq&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZW6IIOUI,cross_verified,pipeline_v2_expansion,1.0
RMVM_S_481cea4d63,Đành Để Em Đi,TBEAR,ART_ee7526ad6a,Đành Để Em Đi (Single),ALB_9dc1921e91,nhạc trẻ,POP_BALLAD,deterministic_mapping,TIER_A,,unverified_null,,https://a128-z3.zmdcdn.me/49b88fdab09c52a8ab83f06904280f71?authen=exp=1772900402~acl=/49b88fdab09c52a8ab83f06904280f71*~hmac=72306720424d573f7606fc126e615920,,,https://photo-playlist-zmp3.zadn.vn/s2/v2/background-playlist?src=HavtoclCgWuG7IRg2xF9271qHTH0yO168pXDcGosaGPaSboP1RR01cq-LeHMvfvNFZK4r0FeabSuPWo61Ud63sbdNzq3jCGBT3KQt0_obWKbLbRP1UUH1pik1SCGiCvVQoy9crwXXH4bZhjYt0jzya5mClcRkzaaufJd_I9z&cv=1&size=thumb_240_240,sunbv56_song_dataset+vietlyrics,ZWADIU6E,cross_verified,pipeline_v2_expansion,1.0
