song_id,title,artist,artist_id,genre,label_source,label_confidence,other_reason,audio_path,audio_status,lyrics_path,lyrics_status,cover_path,cover_status,release_year,year_status,tier,modality_state,split
RMVM_MB_007dda39e8,QUAY ĐI QUAY LẠI,HIEUTHUHAI,ART_b196424628,RAP_HIPHOP,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2024.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_024d34c05b,Nửa trái tim,Phi Nhung,ART_33de4125fc,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,1999.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0295b88980,Toxic Incense,Parasite,ART_d034010438,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2023.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_02a91fe113,Trái tim dũng cảm,Microwave,ART_6cfaeb6caa,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2005.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_042ffb9226,Đừng Yêu Người Nổi Tiếng (Piano Version),7UPPERCUTS,ART_795d93f942,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2024.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0440bf1d4f,Giã bạn đêm trăng,Tân Nhàn,ART_bde6d9dd7d,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_044e2f45a2,Le gateau de riz (Thème musical),Thanh Ngân,ART_165c93966a,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2007.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_048eeb1c5d,Trái tim lầm lỡ,Vân Khánh,ART_fdc4292814,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,,missing,TIER_B,METADATA_ONLY,train
RMVM_MB_055cc3c6e9,Fuelled by fear,Hoaprox,ART_ce3cb4feab,DANCE_EDM,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2020.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_06ef56d7a4,Anh Nên Đi Khỏi Đây,HIEUTHUHAI,ART_b196424628,RAP_HIPHOP,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2026.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_075031b05c,favourite liar,Kai Đinh,ART_db22fc7f69,RB_SOUL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2023.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0894f2c9af,3/4 Interlude,Cam,ART_ad017e9d66,RAP_HIPHOP,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_08f8ef67f8,Đi tìm,Ánh Tuyết,ART_d72564b10f,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,,missing,TIER_B,METADATA_ONLY,train
RMVM_MB_096f10b94e,Thủy Triều,Quang Hưng,ART_7060520839,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2024.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0a14a18db9,Giây phút uyên ương,Thủy Triều Đỏ,ART_fd95027341,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2006.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0a7347b3c4,Thích Em Hơi Nhiều,Wren Evans,ART_76f842bb32,RB_SOUL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2021.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0aba14383c,Bên đời hiu quạnh (với AC&M),Quang Dũng,ART_d0d47f53b1,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2003.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0b06b4610b,Nửa đêm ngoài phố,Bảo Yến,ART_43fbb5fa06,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2009.0,verified,TIER_B,METADATA_ONLY,train
RMVM_MB_0b2bc28e65,Tình ca,Quang Thọ,ART_a9ce8fc0ed,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,train
