song_id,title,artist,artist_id,genre,label_source,label_confidence,other_reason,audio_path,audio_status,lyrics_path,lyrics_status,cover_path,cover_status,release_year,year_status,tier,modality_state,year_num,split
RMVM_MB_00b5a6a08b,MCCB,Blacka,ART_87222206ce,RAP_HIPHOP,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2016.0,verified,TIER_B,METADATA_ONLY,2016,train
RMVM_MB_01c96c811e,Tình ta biển bạc đồng xanh,Anh Thơ,ART_a0c43ea0e8,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2005.0,verified,TIER_B,METADATA_ONLY,2005,train
RMVM_MB_024d34c05b,Nửa trái tim,Phi Nhung,ART_33de4125fc,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,1999.0,verified,TIER_B,METADATA_ONLY,1999,train
RMVM_MB_02a91fe113,Trái tim dũng cảm,Microwave,ART_6cfaeb6caa,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2005.0,verified,TIER_B,METADATA_ONLY,2005,train
RMVM_MB_0440bf1d4f,Giã bạn đêm trăng,Tân Nhàn,ART_bde6d9dd7d,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,2001,train
RMVM_MB_044e2f45a2,Le gateau de riz (Thème musical),Thanh Ngân,ART_165c93966a,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2007.0,verified,TIER_B,METADATA_ONLY,2007,train
RMVM_MB_061e6c18eb,Từ đó em buồn,Hương Lan,ART_8422601bfe,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,1991.0,verified,TIER_B,METADATA_ONLY,1991,train
RMVM_MB_06eedf4b5f,Còn ai với ai,Trịnh Vĩnh Trinh,ART_06707a5746,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,1994.0,verified,TIER_B,METADATA_ONLY,1994,train
RMVM_MB_0834dc92e4,Tình đầu,Hương Lan,ART_8422601bfe,FOLK_TRADITIONAL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,1990.0,verified,TIER_B,METADATA_ONLY,1990,train
RMVM_MB_0894f2c9af,3/4 Interlude,Cam,ART_ad017e9d66,RAP_HIPHOP,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,2001,train
RMVM_MB_0a14a18db9,Giây phút uyên ương,Thủy Triều Đỏ,ART_fd95027341,ROCK,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2006.0,verified,TIER_B,METADATA_ONLY,2006,train
RMVM_MB_0aba14383c,Bên đời hiu quạnh (với AC&M),Quang Dũng,ART_d0d47f53b1,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2003.0,verified,TIER_B,METADATA_ONLY,2003,train
RMVM_MB_0b06b4610b,Nửa đêm ngoài phố,Bảo Yến,ART_43fbb5fa06,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2009.0,verified,TIER_B,METADATA_ONLY,2009,train
RMVM_MB_0b2bc28e65,Tình ca,Quang Thọ,ART_a9ce8fc0ed,REVOLUTIONARY,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2001.0,verified,TIER_B,METADATA_ONLY,2001,train
RMVM_MB_0bbb807e96,Yêu Xa,Vũ Cát Tường,ART_45bba9499c,RB_SOUL,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2014.0,verified,TIER_B,METADATA_ONLY,2014,train
RMVM_MB_0bc13b72f5,Tình lỡ,Bảo Yến,ART_43fbb5fa06,NHAC_TRINH,musicbrainz_artist_discography,0.85,,,unavailable,,unavailable,,unavailable,2015.0,verified,TIER_B,METADATA_ONLY,2015,train
