song_id,title,artist,artist_id,genre,label_source,label_confidence,other_reason,audio_path,audio_status,lyrics_path,lyrics_status,cover_path,cover_status,release_year,year_status,tier,modality_state,dataset_version,release_year_status,release_year_source,lyrics_available,cover_available,audio_available,version_type,source,source_id
RMVM_A_OPEN_efd93c6220,Giai điệu Soul Thể nghiệm #006,Nghệ sĩ Độc lập R&B,ART_7c488ec47d,RB_SOUL,open_academic_audio_corpus,0.95,,data/audio/open_rb_soul/006.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_acoustic_recording,open_academic_corpus,OPEN_RB__006
RMVM_S_1e0fc0ed44,Những Ngày Ấu Thơ,Bé Bào Ngư,ART_d278399f73,INSTRUMENTAL,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_1e0fc0ed44.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW7UAWFI
RMVM_S_5aac8be025,Bóng Dáng Mùa Hè,"Lê Hiếu, Trần Thu Hà",ART_8f5a43ebab,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_5aac8be025.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZWZCUU7W
RMVM_A_VNTM_3c130624cc,Bản thu Chầu văn #480,Nghệ Nhân Hát Văn,ART_b40cd2473d,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/chầu_văn_480.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_CHẦ_480
RMVM_S_ff453d8f50,Gặp Nhau Một Thời Xa Nhau Một Đời (Version 2),Đình Bình,ART_9fba9285bb,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_ff453d8f50.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW8WBEWO
RMVM_S_a0f00624b3,Bình Minh Tình Yêu,Trường Sinh,ART_b1dd680e9f,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,,unavailable,data/covers/RMVM_S_a0f00624b3.jpg,verified_local,,missing,TIER_A,COVER_ONLY,v1,missing,missing,0,1,0,original_recording,,ZW6UB9FW
RMVM_S_cfbf39b8c1,Hey Ông Già Noel,Trương Quỳnh Anh,ART_54e2fd0501,POP_BALLAD,deterministic_mapping,0.85,,,unavailable,,unavailable,,unavailable,,missing,TIER_B,METADATA_ONLY,v1,missing,missing,0,0,0,original_recording,,ZWZB7BU7
RMVM_S_b7abff6397,Bỏ Anh Thì Đừng Hối Hận,Suno Nguyễn,ART_8995d5903e,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_b7abff6397.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW80OZF6
RMVM_S_5e7f6588c1,Phải Chăng Em Đã Yêu,Minh Hằng,ART_5a1a4cd7d1,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_5e7f6588c1.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW6DC6WF
RMVM_S_99805cc0eb,Bến Đàn Xuân,Minh Thuận,ART_29f9849d59,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_99805cc0eb.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW78CF8W
RMVM_A_VNTM_0cd3f86205,Bản thu Ca trù #418,Folk Ensemble Ca Trù,ART_cdba81c8a0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/ca_trù_418.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_CA _418
RMVM_A_VNTM_3e6e1aaaf4,Bản thu Ca trù #275,Folk Ensemble Ca Trù,ART_cdba81c8a0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/ca_trù_275.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_CA _275
RMVM_A_VNTM_fd7ea8f752,Bản thu Ca trù #345,Folk Ensemble Ca Trù,ART_cdba81c8a0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/ca_trù_345.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_CA _345
RMVM_A_OPEN_195a390e0c,Bản thu Rock Thể nghiệm #078,Ban nhạc Rock Độc lập Việt Nam,ART_c16400916b,ROCK,open_academic_audio_corpus,0.95,,data/audio/open_rock/078.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_acoustic_recording,open_academic_corpus,OPEN_ROC_078
RMVM_A_OPEN_b3998b7eea,Bản thu Rock Thể nghiệm #077,Ban nhạc Rock Độc lập Việt Nam,ART_c16400916b,ROCK,open_academic_audio_corpus,0.95,,data/audio/open_rock/077.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_acoustic_recording,open_academic_corpus,OPEN_ROC_077
RMVM_S_427bbcb8be,Hạnh Phúc Bất Chợt,Ngọc Thúy,ART_885a5ea3eb,INSTRUMENTAL,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZW78DODF
RMVM_S_e91d26b1c1,Đến Gần Em,"Shay N, Sọp",ART_af5297b7d2,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_e91d26b1c1.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZO8ZFBWA
RMVM_A_VNTM_7b930be733,Bản thu Ca trù #409,Folk Ensemble Ca Trù,ART_cdba81c8a0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/ca_trù_409.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_CA _409
RMVM_S_e727e46231,Anh Tin Mình Đã Cho Nhau Một Kỷ Niệm,"Thu Thủy, Lương Bằng Quang",ART_db34c33011,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_e727e46231.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZWZCF0CA
RMVM_S_b2f5166015,Liên Khúc Daddy Cool,Đức Vinh,ART_45793cc170,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_b2f5166015.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW78ADZW
RMVM_A_VNTM_704dae5d5f,Bản thu Hát xẩm #136,Chiếu Xẩm Hà Thành,ART_d44fa102f0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/hát_xẩm_136.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_HÁT_136
RMVM_S_e9e90d8607,Kết Thúc Chia Ly,Trường Kha,ART_abe0f2439b,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_e9e90d8607.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZU7EW99A
RMVM_S_c8be07bce7,Đoạn Kết Cuối,"Vũ Thịnh, Fanny Trần",ART_a01b2b53b8,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_c8be07bce7.txt,verified_local,data/covers/RMVM_S_c8be07bce7.jpg,verified_local,,missing,TIER_A,LYRICS_COVER,v1,missing,missing,1,1,0,original_recording,,Z6E6BI6D
RMVM_S_d39aa5cb70,Dây Đủng Đỉnh Buồn,Ân Thiên Vỹ,ART_a7e34b8ed2,BOLERO_TRUTINH,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_d39aa5cb70.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZWBW08W6
RMVM_S_3776395768,Lời Ru Của Đất,Thiều Thu Sa,ART_af9e91b62c,BOLERO_TRUTINH,vietlyrics_curated,0.95,,,missing_unmaterialized,,missing,,missing,,missing,TIER_A,XXX,v2,missing,missing,0,0,0,original_recording,sunbv56_song_dataset+vietlyrics,ZUIAUF8O
RMVM_S_c5571650ef,Buồn Của Anh (Ballad),Ngân Ngân,ART_4155bae4a8,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_c5571650ef.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,Z6EWUBDB
RMVM_S_5ba67c68f2,Trời Sinh Voi Sinh Cỏ,Phi Nhung,ART_33de4125fc,BOLERO_TRUTINH,deterministic_mapping,0.85,,,unavailable,,unavailable,,unavailable,,missing,TIER_B,METADATA_ONLY,v1,missing,missing,0,0,0,original_recording,,ZW7887A0
RMVM_S_ede45a2ac0,Anh Rồi Sẽ Ổn Thôi!,LEO,ART_0f759dd1ea,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_ede45a2ac0.txt,verified_local,data/covers/RMVM_S_ede45a2ac0.jpg,verified_local,,missing,TIER_A,LYRICS_COVER,v1,missing,missing,1,1,0,original_recording,,Z69FBUD9
RMVM_A_VNTM_149ee3ab02,Bản thu Hát xẩm #305,Chiếu Xẩm Hà Thành,ART_d44fa102f0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/hát_xẩm_305.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_HÁT_305
RMVM_S_ef088e5a01,Tết Là Nhất,Nhiều nghệ sĩ,ART_736b531937,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_ef088e5a01.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW9B0ZCA
RMVM_S_0c76503cce,Làm Sao Để Yêu Thương Quay Về,Đoàn Tuấn,ART_0af4859032,POP_BALLAD,deterministic_mapping,1.0,,,unavailable,data/lyrics/RMVM_S_0c76503cce.txt,verified_local,,unavailable,,missing,TIER_A,LYRICS_ONLY,v1,missing,missing,1,0,0,original_recording,,ZW79BCAA
RMVM_A_VNTM_a1af44eead,Bản thu Hát xẩm #192,Chiếu Xẩm Hà Thành,ART_d44fa102f0,FOLK_TRADITIONAL,open_vntm_dataset_cc0,1.0,,data/audio/vntm/hát_xẩm_192.wav,verified_open_audio,,missing_unmaterialized,,missing_unmaterialized,,missing,TIER_A,XXA,v4,missing,missing,0,0,1,open_traditional_recording,vntm_traditional_cc0,VNTM_HÁT_192
