song_id,title,artist,artist_id,genre,raw_genre,source_genre,tier,label_source,label_confidence,release_year,has_audio,has_lyrics,has_cover,is_full_multimodal,modality_pattern,physical_quality_status,audio_path,lyrics_path,cover_path,source_url,source_id,split
RMVM_S_3934cfeb95,An Giang Quê Tôi,Văn Hương,ART_0adf9b4061,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_3934cfeb95.txt,,https://a128-z3.zmdcdn.me/c6761ecb767a50449d2ac2e3f6f27a43?authen=exp=1772904314~acl=/c6761ecb767a50449d2ac2e3f6f27a43*~hmac=dfae4609664a93acb4fb80d323d02421,ZWAEE9EF,train
RMVM_S_3eeaacc45e,Sầu Lẻ Bóng 2,Dương Hồng Loan,ART_ef4a4d3768,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_3eeaacc45e.txt,,https://a128-z3.zmdcdn.me/02e43b4d22b014023c5830c7be10a5e2?authen=exp=1772903837~acl=/02e43b4d22b014023c5830c7be10a5e2*~hmac=1c2183bf3e14184722fb74b626622347,ZW6O680O,train
RMVM_MB_17ca181ff1,Đông,Vũ Cát Tường,ART_45bba9499c,RB_SOUL,rb_soul,rb_soul,TIER_B,musicbrainz_artist_discography,0.85,2014.0,False,False,False,False,NONE,LEVEL_1_METADATA_ONLY,,,,https://musicbrainz.org/recording/5ef83a9f-cd11-4551-96f6-d0ce705cc4f1,5ef83a9f-cd11-4551-96f6-d0ce705cc4f1,train
RMVM_S_3ebaeabc6c,Câu Hát Tình Quê,Hải Triều,ART_d28cadc977,FOLK_TRADITIONAL,nhạc dân ca - quê hương,nhạc dân ca - quê hương,TIER_B,deterministic_mapping,0.85,,False,False,False,False,NONE,LEVEL_1_METADATA_ONLY,,,,https://zingmp3.vn/bai-hat/Cau-Hat-Tinh-Que-Hai-Trieu/ZW788AAO.html,ZW788AAO,train
RMVM_S_73c105052b,Mưa Đêm Tỉnh Lẻ,Gia Tiến,ART_364f2356ab,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_73c105052b.txt,,https://a128-z3.zmdcdn.me/d4b94eb759082de15d84460ad05cbf38?authen=exp=1772903872~acl=/d4b94eb759082de15d84460ad05cbf38*~hmac=34afd200f45fd86db19f7a7c1fb2d2d8,Z6BO7W6I,train
RMVM_S_713a31081f,Hoa Bèo Tím,Thanh Quý,ART_7bdf7be6b5,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_713a31081f.txt,,https://a128-z3.zmdcdn.me/f02003bdc661037abe1b9e783bfd00e7?authen=exp=1772902727~acl=/f02003bdc661037abe1b9e783bfd00e7*~hmac=547138de47335e79c11cb14266c7f8ab,ZOO7A87U,train
RMVM_S_1020b1e51c,Chiều Mưa Lũ,Mạnh Quỳnh,ART_d1f9e306ee,INSTRUMENTAL,new age / world music,new age / world music,TIER_B,source_tag_verification,0.85,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_1020b1e51c.txt,,https://a128-z3.zmdcdn.me/0f8ad4afa28c871866d364b21159eb6a?authen=exp=1772906550~acl=/0f8ad4afa28c871866d364b21159eb6a*~hmac=2bca39ce9d4375e2039b9c8077d381a7,ZWZCEOOI,train
RMVM_MB_c7daeb42f9,Entfesselt,Monstar,ART_d13f16501d,RB_SOUL,rb_soul,rb_soul,TIER_B,musicbrainz_artist_discography,0.85,2010.0,False,False,False,False,NONE,LEVEL_1_METADATA_ONLY,,,,https://musicbrainz.org/recording/24dc062c-d3ba-4e2a-9f34-ccdbb73d9d60,24dc062c-d3ba-4e2a-9f34-ccdbb73d9d60,train
RMVM_S_52dd9d5d38,Đi Ngược Con Đường,Thu Thủy,ART_d19291be80,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_52dd9d5d38.txt,,https://a128-z3.zmdcdn.me/409fc552a914a35916331569558643b6?authen=exp=1772904694~acl=/409fc552a914a35916331569558643b6*~hmac=df31466c1c8a4f4444aa0d47af5df131,ZW60D806,train
RMVM_S_187c3fae70,Sao Em Không Nhấc Máy? (Facetime530),"mơ, NhatMinh",ART_a598b607ca,RAP_HIPHOP,rap việt,rap việt,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_187c3fae70.txt,,https://a128-z3.zmdcdn.me/f978b655f565a24433d42c35b87fac36?authen=exp=1772903506~acl=/f978b655f565a24433d42c35b87fac36*~hmac=019d3b9fb839086046128c8c976806b6,ZZADU90E,train
