song_id,title,artist,artist_id,genre,raw_genre,source_genre,tier,label_source,label_confidence,release_year,has_audio,has_lyrics,has_cover,is_full_multimodal,modality_pattern,physical_quality_status,audio_path,lyrics_path,cover_path,source_url,source_id,split
RMVM_S_319de9ad50,Anh Ơi Đừng Đến Nữa,Thúy Huyền,ART_36808d017b,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_319de9ad50.txt,,https://a128-z3.zmdcdn.me/c20738820a0b1d085db14f8bee938226?authen=exp=1772903229~acl=/c20738820a0b1d085db14f8bee938226*~hmac=3ed5e0c27ece9b46a4303be4eb079853,Z67OIFBW,train
RMVM_S_a413110290,Còn Lại Chút Tình Người,Thái Sơn,ART_a32e52f007,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,True,False,LYRICS_COVER,LEVEL_2_DUAL_MODALITY,,data/lyrics/RMVM_S_a413110290.txt,data/covers/RMVM_S_a413110290.jpg,https://a128-z3.zmdcdn.me/e7e71904851ee922cf1651c6964da221?authen=exp=1772901076~acl=/e7e71904851ee922cf1651c6964da221*~hmac=aa374b4205fd99aa05bda1190b1bba1f,Z6AC6CZA,train
RMVM_S_9d43b8b46d,Bạc Trắng Mái Đầu,Zick Phạm,ART_a23a2e76df,POP_BALLAD,v-pop,v-pop,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_9d43b8b46d.txt,,https://a128-z3.zmdcdn.me/0192c78a24f18db88897f09f1a49118d?authen=exp=1772907004~acl=/0192c78a24f18db88897f09f1a49118d*~hmac=796edba8d818b1708fe796660b33866b,ZZI0B8ZB,train
RMVM_S_6a179edec3,Khúc Nhạc Mừng Xuân,Phi Thúy Hạnh,ART_58833257b0,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_6a179edec3.jpg,https://a128-z3.zmdcdn.me/99a08978bf0f6a507531dfc905e75298?authen=exp=1772900903~acl=/99a08978bf0f6a507531dfc905e75298*~hmac=c2b4062b15a5f5c8d9096ebb9ce83a11,ZWZA9ODF,train
RMVM_S_61c1d93b3b,Cô Đơn Dành Cho Ai (Lofi Chill),"Lee Ken, Nal",ART_4931f71080,POP_BALLAD,v-pop,v-pop,TIER_A,deterministic_mapping,1.0,,False,True,True,False,LYRICS_COVER,LEVEL_2_DUAL_MODALITY,,data/lyrics/RMVM_S_61c1d93b3b.txt,data/covers/RMVM_S_61c1d93b3b.jpg,https://a128-z3.zmdcdn.me/86df1ed1cb250725591dc4dd1898d320?authen=exp=1772900984~acl=/86df1ed1cb250725591dc4dd1898d320*~hmac=3ad4082cb3fa66cd1c9cae1d5e0f0e52,Z6A6966A,train
RMVM_S_f75bb45bd7,Không Gian Chơi Vơi,PhanDjat,ART_b35ef509a0,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_f75bb45bd7.txt,,https://a128-z3.zmdcdn.me/2bcad3e7f333f71d80da126837da653b?authen=exp=1772901414~acl=/2bcad3e7f333f71d80da126837da653b*~hmac=2c1fd7f0c94ecef28178d15341220a80,Z6O67EFD,train
RMVM_S_0223dc9e10,Đêm Tâm Sự (Beat),Lâm Bảo Phi,ART_a455c80bfc,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_0223dc9e10.jpg,https://a128-z3.zmdcdn.me/bc1aa94db7c8e4663cf033a86f203089?authen=exp=1772550938~acl=/bc1aa94db7c8e4663cf033a86f203089*~hmac=aea715ce9a3f5c4e37329e99de232fd9,Z6IBZBWO,train
RMVM_S_ec062a1173,Biết Em Chưa Thể Quên,Trương Ngôn,ART_bb97496cd1,POP_BALLAD,v-pop,v-pop,TIER_A,deterministic_mapping,1.0,,False,True,True,False,LYRICS_COVER,LEVEL_2_DUAL_MODALITY,,data/lyrics/RMVM_S_ec062a1173.txt,data/covers/RMVM_S_ec062a1173.jpg,https://a128-z3.zmdcdn.me/6538ba9360976da5b685fdf7fb4cb9f4?authen=exp=1772901087~acl=/6538ba9360976da5b685fdf7fb4cb9f4*~hmac=da4ea068263459a9e27099c456eea725,ZW7UAW6F,train
RMVM_S_eff62cd2db,Em Giờ Sao,Khu Đình,ART_8d7c3039bf,POP_BALLAD,v-pop,v-pop,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_eff62cd2db.txt,,https://a128-z3.zmdcdn.me/226d438ad366b9328995aac14460c8e4?authen=exp=1772901586~acl=/226d438ad366b9328995aac14460c8e4*~hmac=4e2448a43325d67c3dc0d545f698f5d2,ZZBZWI9C,train
RMVM_S_5b50e28a1f,Vì Anh Đã Yêu Em,Quang Dũng,ART_d0d47f53b1,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_5b50e28a1f.txt,,https://a128-z3.zmdcdn.me/949c6013abd8df1c95080a9155360c2b?authen=exp=1772903413~acl=/949c6013abd8df1c95080a9155360c2b*~hmac=4e9f6e3c47126aac28dfa12850cd4120,ZWZ98ZO9,train
