song_id,title,artist,artist_id,genre,raw_genre,source_genre,tier,label_source,label_confidence,release_year,has_audio,has_lyrics,has_cover,is_full_multimodal,modality_pattern,physical_quality_status,audio_path,lyrics_path,cover_path,source_url,source_id,release_year_clean,split
RMVM_S_ca27d6f989,Liên Khúc: Ước Mơ Trong Đời - Có Nhau Trọn Đời (Live),Hồ Quỳnh Hương,ART_b84167a040,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2011.0,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_ca27d6f989.jpg,,Z7IOFD9C,2011.0,train
RMVM_S_bb4efb9866,Anh Tin Mình Đã Cho Nhau 1 Kỉ Niệm (Prod.by Pharreal Phương & Dsmall),Nhiều nghệ sĩ,ART_736b531937,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2017.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_bb4efb9866.txt,,https://a128-z3.zmdcdn.me/7e9607c83d2b6c667a2562677e415a33?authen=exp=1772901254~acl=/7e9607c83d2b6c667a2562677e415a33*~hmac=bb58f5956de04fba9374fae773070c40,ZW7FOAUI,2017.0,train
RMVM_S_e3215120c8,Kết Thúc Một Cuộc Tình (Phi Nguyễn Remix),Cao Nam Thành,ART_96f1876e49,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2018.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_e3215120c8.txt,,https://a128-z3.zmdcdn.me/2e24b6b519a929262115c67ea43ff5dd?authen=exp=1772901749~acl=/2e24b6b519a929262115c67ea43ff5dd*~hmac=2f407303205246f822ca42ed53ff5b96,ZW9FDEWW,2018.0,train
RMVM_S_95552aeb06,Anh Quá Khó Phải Không Em (Remix),Đoàn Việt Phương,ART_9bdc86fea0,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2014.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_95552aeb06.txt,,https://a128-z3.zmdcdn.me/15429502837e4456be647cb3a2bdcfb8?authen=exp=1772902307~acl=/15429502837e4456be647cb3a2bdcfb8*~hmac=f7baa03ab22d25249c44c72301fae286,ZW6EO0FO,2014.0,train
RMVM_S_b624658b9b,Tranh Nguoi Yeu Toi Ra,Đào Nguyễn Ánh,ART_1995f6593a,ROCK,alternative,alternative,TIER_B,source_tag_verification,0.85,2018.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_b624658b9b.txt,,https://a128-z3.zmdcdn.me/2eed36ff4885371e05d143b1804e50da?authen=exp=1772903522~acl=/2eed36ff4885371e05d143b1804e50da*~hmac=f3ad442f268b635228dafe3a9a0cccd5,ZW8WD8CC,2018.0,train
RMVM_S_8e45686acc,Anh Xin Lỗi Em Remix,Châu Khải Phong,ART_b5c7c65b2f,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2014.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_8e45686acc.txt,,https://a128-z3.zmdcdn.me/9f87d4dc71fc3537c75dc38ffaf76c0c?authen=exp=1772904010~acl=/9f87d4dc71fc3537c75dc38ffaf76c0c*~hmac=3ca88a400a4d2f2dda7ca27f822e7b4b,ZW6EA98U,2014.0,train
RMVM_S_e982541147,Đô Thị (The Remix 2017),"MiA, Tronie Ngô, Addy Trần",ART_a6da16f673,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2017.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_e982541147.txt,,https://a128-z3.zmdcdn.me/f34b09ea41f772817d46e7f78c9eee8d?authen=exp=1772904794~acl=/f34b09ea41f772817d46e7f78c9eee8d*~hmac=76762b444446701002f73202f4511a8b,ZW79Z8A9,2017.0,train
RMVM_S_31e68cb92e,Giấc Mơ Không Quay Về,The Men,ART_bbb595b853,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2012.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_31e68cb92e.txt,,https://a128-z3.zmdcdn.me/9ff95510c2657ca78cc8be2ce970422c?authen=exp=1772552343~acl=/9ff95510c2657ca78cc8be2ce970422c*~hmac=c15175de4a788c2bcabc47f0235cec1f,ZW60B0UA,2012.0,train
RMVM_S_63e60c3258,Anh thấy mình nhớ em,Tống Gia Vỹ,ART_3056dbc2e2,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2011.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_63e60c3258.txt,,https://a128-z3.zmdcdn.me/daeabbc28c1f965b309050a61ab0c2b6?authen=exp=1772906238~acl=/daeabbc28c1f965b309050a61ab0c2b6*~hmac=ecbc7402745d4d107bec74df27d55d9a,ZWZBC878,2011.0,train
RMVM_S_4a18af78d0,Anh Sợ Mất Em (Remix),The Men,ART_bbb595b853,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2015.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_4a18af78d0.txt,,https://a128-z3.zmdcdn.me/dfd49d0b9a42eda1039356f9cf9f71d5?authen=exp=1772907199~acl=/dfd49d0b9a42eda1039356f9cf9f71d5*~hmac=f43e02ad89b9f5f2292e28502ae6cf2a,Z688ZFAO,2015.0,train
RMVM_S_3a3656d910,Băng Giá,"Hồ Quang Hiếu, Hoàng Rapper",ART_b51634e12d,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2017.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_3a3656d910.txt,,https://a128-z3.zmdcdn.me/1b09551ae72d1cf3551225370d46cb5a?authen=exp=1772907485~acl=/1b09551ae72d1cf3551225370d46cb5a*~hmac=8a52b27912a12aa972f58ca4bbb88fa2,ZW79OWIU,2017.0,train
RMVM_S_d1e6d6fe95,Thương Về Cố Đô (2017),"Lương Gia Huy, Lâm Chấn Huy",ART_48f40ab9f5,FOLK_TRADITIONAL,nhạc dân ca - quê hương,nhạc dân ca - quê hương,TIER_A,deterministic_mapping,1.0,2017.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_d1e6d6fe95.txt,,https://a128-z3.zmdcdn.me/61297931d67f81d00a7a1dd6b95ad898?authen=exp=1772907579~acl=/61297931d67f81d00a7a1dd6b95ad898*~hmac=a7c934727d1ddd999e5a2866fc2198d4,ZW8W8ZW7,2017.0,train
RMVM_S_417168b1fa,Chuyện Người Đàn Bà 2000 Năm Trước,Tín Nhiệm,ART_ac76920f7e,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,2000.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_417168b1fa.txt,,https://a128-z3.zmdcdn.me/2d0053e0bb6fd57953e794a87b9ef456?authen=exp=1772908165~acl=/2d0053e0bb6fd57953e794a87b9ef456*~hmac=d86522c438681936204207f5e71a165a,ZWAI8CZ8,2000.0,train
RMVM_S_d29125213a,Em Nhớ Anh Nhiều,Cẩm Ly,ART_310ca7b279,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,2006.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_d29125213a.txt,,https://a128-z3.zmdcdn.me/0905c39d099d9feccf5a1b419a7a33f9?authen=exp=1772908337~acl=/0905c39d099d9feccf5a1b419a7a33f9*~hmac=5924d94c5b73c189766e4e2198116d98,ZWZCUWEE,2006.0,train
RMVM_S_ca65fa5d79,Tron Kiep La Anh Em,Đào Nguyễn Ánh,ART_1995f6593a,ROCK,alternative,alternative,TIER_B,source_tag_verification,0.85,2018.0,False,True,False,False,LYRICS_ONLY,LEVEL_2_SINGLE_MODALITY,,data/lyrics/RMVM_S_ca65fa5d79.txt,,https://a128-z3.zmdcdn.me/527fca7a5149718b1a91e51088b66ce6?authen=exp=1772908504~acl=/527fca7a5149718b1a91e51088b66ce6*~hmac=6b0ff19ac61dedf7b1f5c10dff02be1e,ZW9BWF9Z,2018.0,train
