Genre,Total_Samples,Physical_Cover_Count,Physical_Cover_Pct,Avg_Resolution,Avg_Size_KB,Physical_Gap
POP_BALLAD,3031,265,8.74,817x432,44.7,2766
BOLERO_TRUTINH,807,89,11.03,771x411,41.6,718
INSTRUMENTAL,287,27,9.41,742x400,40.2,260
RAP_HIPHOP,221,8,3.62,780x409,46.8,213
FOLK_TRADITIONAL,200,10,5.0,816x428,44.8,190
DANCE_EDM,193,3,1.55,720x378,41.9,190
REVOLUTIONARY,170,1,0.59,720x378,46.3,169
NHAC_TRINH,145,2,1.38,720x378,42.0,143
ROCK,137,3,2.19,880x462,52.6,134
RB_SOUL,132,2,1.52,720x378,41.3,130
CHILDREN,93,3,3.23,1040x546,54.5,90
