Genre,Total_Samples,Physical_Audio_Available,Physical_Audio_Gap,Physical_Lyrics_Available,Physical_Lyrics_Gap,Physical_Cover_Available,Physical_Cover_Gap,Full_Multimodal_Available,Multimodal_Gap
POP_BALLAD,3031,0,3031,2726,305,265,2766,0,3031
BOLERO_TRUTINH,807,0,807,694,113,89,718,0,807
INSTRUMENTAL,287,0,287,217,70,27,260,0,287
RAP_HIPHOP,221,0,221,111,110,8,213,0,221
FOLK_TRADITIONAL,200,0,200,82,118,10,190,0,200
DANCE_EDM,193,0,193,149,44,3,190,0,193
REVOLUTIONARY,170,0,170,23,147,1,169,0,170
NHAC_TRINH,145,0,145,12,133,2,143,0,145
ROCK,137,0,137,15,122,3,134,0,137
RB_SOUL,132,0,132,14,118,2,130,0,132
CHILDREN,93,0,93,74,19,3,90,0,93
