class,sample_count,percentage,unique_artists,mean_samples_per_artist,max_samples_per_artist,artist_diversity_ratio
POP_BALLAD,3031,55.96,1888,1.61,34,0.623
BOLERO_TRUTINH,807,14.9,500,1.61,13,0.62
INSTRUMENTAL,287,5.3,141,2.04,13,0.491
RAP_HIPHOP,221,4.08,111,1.99,16,0.502
FOLK_TRADITIONAL,200,3.69,77,2.6,20,0.385
DANCE_EDM,193,3.56,139,1.39,8,0.72
REVOLUTIONARY,170,3.14,31,5.48,19,0.182
NHAC_TRINH,145,2.68,23,6.3,17,0.159
ROCK,137,2.53,20,6.85,16,0.146
RB_SOUL,132,2.44,27,4.89,16,0.205
CHILDREN,93,1.72,41,2.27,17,0.441
