split,partition,N,class,class_count,class_percentage,unique_artists,audio_available,lyrics_available,cover_available,full_multimodal
IID,Train,3791,POP_BALLAD,2122,55.97,2107,0,2883,300,0
IID,Train,3791,BOLERO_TRUTINH,565,14.9,2107,0,2883,300,0
IID,Train,3791,INSTRUMENTAL,201,5.3,2107,0,2883,300,0
IID,Train,3791,RAP_HIPHOP,155,4.09,2107,0,2883,300,0
IID,Train,3791,FOLK_TRADITIONAL,140,3.69,2107,0,2883,300,0
IID,Train,3791,DANCE_EDM,135,3.56,2107,0,2883,300,0
IID,Train,3791,REVOLUTIONARY,119,3.14,2107,0,2883,300,0
IID,Train,3791,NHAC_TRINH,101,2.66,2107,0,2883,300,0
IID,Train,3791,ROCK,96,2.53,2107,0,2883,300,0
IID,Train,3791,RB_SOUL,92,2.43,2107,0,2883,300,0
IID,Train,3791,CHILDREN,65,1.71,2107,0,2883,300,0
IID,Val,812,POP_BALLAD,454,55.91,628,0,616,57,0
IID,Val,812,BOLERO_TRUTINH,121,14.9,628,0,616,57,0
IID,Val,812,INSTRUMENTAL,43,5.3,628,0,616,57,0
IID,Val,812,RAP_HIPHOP,33,4.06,628,0,616,57,0
IID,Val,812,FOLK_TRADITIONAL,30,3.69,628,0,616,57,0
IID,Val,812,DANCE_EDM,29,3.57,628,0,616,57,0
IID,Val,812,REVOLUTIONARY,25,3.08,628,0,616,57,0
IID,Val,812,NHAC_TRINH,22,2.71,628,0,616,57,0
IID,Val,812,ROCK,21,2.59,628,0,616,57,0
IID,Val,812,RB_SOUL,20,2.46,628,0,616,57,0
IID,Val,812,CHILDREN,14,1.72,628,0,616,57,0
IID,Test,813,POP_BALLAD,455,55.97,653,0,618,56,0
IID,Test,813,BOLERO_TRUTINH,121,14.88,653,0,618,56,0
IID,Test,813,INSTRUMENTAL,43,5.29,653,0,618,56,0
IID,Test,813,RAP_HIPHOP,33,4.06,653,0,618,56,0
IID,Test,813,FOLK_TRADITIONAL,30,3.69,653,0,618,56,0
IID,Test,813,DANCE_EDM,29,3.57,653,0,618,56,0
IID,Test,813,REVOLUTIONARY,26,3.2,653,0,618,56,0
IID,Test,813,NHAC_TRINH,22,2.71,653,0,618,56,0
IID,Test,813,ROCK,20,2.46,653,0,618,56,0
IID,Test,813,RB_SOUL,20,2.46,653,0,618,56,0
IID,Test,813,CHILDREN,14,1.72,653,0,618,56,0
Artist-Disjoint,Train,3791,POP_BALLAD,2053,54.15,1832,0,2840,281,0
Artist-Disjoint,Train,3791,BOLERO_TRUTINH,574,15.14,1832,0,2840,281,0
Artist-Disjoint,Train,3791,INSTRUMENTAL,216,5.7,1832,0,2840,281,0
Artist-Disjoint,Train,3791,RAP_HIPHOP,176,4.64,1832,0,2840,281,0
Artist-Disjoint,Train,3791,FOLK_TRADITIONAL,162,4.27,1832,0,2840,281,0
Artist-Disjoint,Train,3791,DANCE_EDM,122,3.22,1832,0,2840,281,0
Artist-Disjoint,Train,3791,REVOLUTIONARY,142,3.75,1832,0,2840,281,0
Artist-Disjoint,Train,3791,NHAC_TRINH,107,2.82,1832,0,2840,281,0
Artist-Disjoint,Train,3791,ROCK,103,2.72,1832,0,2840,281,0
Artist-Disjoint,Train,3791,RB_SOUL,74,1.95,1832,0,2840,281,0
Artist-Disjoint,Train,3791,CHILDREN,62,1.64,1832,0,2840,281,0
Artist-Disjoint,Val,812,POP_BALLAD,489,60.22,474,0,656,68,0
Artist-Disjoint,Val,812,BOLERO_TRUTINH,134,16.5,474,0,656,68,0
Artist-Disjoint,Val,812,INSTRUMENTAL,32,3.94,474,0,656,68,0
Artist-Disjoint,Val,812,RAP_HIPHOP,21,2.59,474,0,656,68,0
Artist-Disjoint,Val,812,FOLK_TRADITIONAL,11,1.35,474,0,656,68,0
Artist-Disjoint,Val,812,DANCE_EDM,29,3.57,474,0,656,68,0
Artist-Disjoint,Val,812,REVOLUTIONARY,9,1.11,474,0,656,68,0
Artist-Disjoint,Val,812,NHAC_TRINH,19,2.34,474,0,656,68,0
Artist-Disjoint,Val,812,ROCK,27,3.33,474,0,656,68,0
Artist-Disjoint,Val,812,RB_SOUL,31,3.82,474,0,656,68,0
Artist-Disjoint,Val,812,CHILDREN,10,1.23,474,0,656,68,0
Artist-Disjoint,Test,813,POP_BALLAD,489,60.15,401,0,621,64,0
Artist-Disjoint,Test,813,BOLERO_TRUTINH,99,12.18,401,0,621,64,0
Artist-Disjoint,Test,813,INSTRUMENTAL,39,4.8,401,0,621,64,0
Artist-Disjoint,Test,813,RAP_HIPHOP,24,2.95,401,0,621,64,0
Artist-Disjoint,Test,813,FOLK_TRADITIONAL,27,3.32,401,0,621,64,0
Artist-Disjoint,Test,813,DANCE_EDM,42,5.17,401,0,621,64,0
Artist-Disjoint,Test,813,REVOLUTIONARY,19,2.34,401,0,621,64,0
Artist-Disjoint,Test,813,NHAC_TRINH,19,2.34,401,0,621,64,0
Artist-Disjoint,Test,813,ROCK,7,0.86,401,0,621,64,0
Artist-Disjoint,Test,813,RB_SOUL,27,3.32,401,0,621,64,0
Artist-Disjoint,Test,813,CHILDREN,21,2.58,401,0,621,64,0
Temporal,Train,526,POP_BALLAD,11,2.09,88,0,14,1,0
Temporal,Train,526,BOLERO_TRUTINH,1,0.19,88,0,14,1,0
Temporal,Train,526,INSTRUMENTAL,36,6.84,88,0,14,1,0
Temporal,Train,526,RAP_HIPHOP,37,7.03,88,0,14,1,0
Temporal,Train,526,FOLK_TRADITIONAL,77,14.64,88,0,14,1,0
Temporal,Train,526,DANCE_EDM,16,3.04,88,0,14,1,0
Temporal,Train,526,REVOLUTIONARY,101,19.2,88,0,14,1,0
Temporal,Train,526,NHAC_TRINH,95,18.06,88,0,14,1,0
Temporal,Train,526,ROCK,92,17.49,88,0,14,1,0
Temporal,Train,526,RB_SOUL,48,9.13,88,0,14,1,0
Temporal,Train,526,CHILDREN,12,2.28,88,0,14,1,0
Temporal,Val,54,POP_BALLAD,8,14.81,29,0,7,1,0
Temporal,Val,54,BOLERO_TRUTINH,0,0.0,29,0,7,1,0
Temporal,Val,54,INSTRUMENTAL,2,3.7,29,0,7,1,0
Temporal,Val,54,RAP_HIPHOP,11,20.37,29,0,7,1,0
Temporal,Val,54,FOLK_TRADITIONAL,2,3.7,29,0,7,1,0
Temporal,Val,54,DANCE_EDM,6,11.11,29,0,7,1,0
Temporal,Val,54,REVOLUTIONARY,3,5.56,29,0,7,1,0
Temporal,Val,54,NHAC_TRINH,1,1.85,29,0,7,1,0
Temporal,Val,54,ROCK,15,27.78,29,0,7,1,0
Temporal,Val,54,RB_SOUL,6,11.11,29,0,7,1,0
Temporal,Val,54,CHILDREN,0,0.0,29,0,7,1,0
Temporal,Test,188,POP_BALLAD,16,8.51,61,0,24,1,0
Temporal,Test,188,BOLERO_TRUTINH,7,3.72,61,0,24,1,0
Temporal,Test,188,INSTRUMENTAL,4,2.13,61,0,24,1,0
