genre,sample_count,percentage,unique_artists,samples_per_artist_max,median_samples_per_artist,top_artist,artist_diversity_ratio,confidence_tier,representation_status
POP_BALLAD,3031,55.96,1888,32,1.0,Nhiều nghệ sĩ,62.29,HIGH_CONFIDENCE (Tier A),Dominant
BOLERO_TRUTINH,807,14.9,500,13,1.0,Dương Hồng Loan,61.96,HIGH_CONFIDENCE (Tier A),Dominant
INSTRUMENTAL,287,5.3,141,13,1.0,Don Hồ,49.13,MEDIUM_CONFIDENCE (Tier B),Adequate
RAP_HIPHOP,221,4.08,111,16,1.0,Rhymastic,50.23,HIGH_CONFIDENCE (Tier A),Adequate
FOLK_TRADITIONAL,200,3.69,77,20,1.0,Hương Lan,38.5,MEDIUM_CONFIDENCE (Tier B),Adequate
DANCE_EDM,193,3.56,139,8,1.0,Masew,72.02,HIGH_CONFIDENCE (Tier A),Adequate
REVOLUTIONARY,170,3.14,31,19,1.0,Trọng Tấn,18.24,MEDIUM_CONFIDENCE (Tier B),Adequate
NHAC_TRINH,145,2.68,23,17,8.0,Khánh Ly,15.86,MEDIUM_CONFIDENCE (Tier B),Deficient
ROCK,137,2.53,20,16,6.0,Microwave,14.6,MEDIUM_CONFIDENCE (Tier B),Deficient
RB_SOUL,132,2.44,27,16,4.0,Erik,20.45,MEDIUM_CONFIDENCE (Tier B),Deficient
CHILDREN,93,1.72,41,17,1.0,Xuân Mai,44.09,HIGH_CONFIDENCE (Tier A),Deficient
