class,train_count,raw_weight,normalized_weight,relative_weight,w_linear_inverse,w_sqrt_inverse,w_effective_number
POP_BALLAD,2150,0.2321,0.0795,1.0,0.0789,0.3028,0.176
BOLERO_TRUTINH,570,0.8743,0.2996,3.77,0.2976,0.588,0.3577
INSTRUMENTAL,307,1.6209,0.5554,6.98,0.5526,0.8012,0.5879
RAP_HIPHOP,155,3.2003,1.0966,13.79,1.0945,1.1276,1.0823
FOLK_TRADITIONAL,1890,0.264,0.0905,1.14,0.0898,0.3229,0.1831
DANCE_EDM,137,3.6178,1.2396,15.59,1.2383,1.1994,1.2138
REVOLUTIONARY,189,2.6276,0.9003,11.32,0.8976,1.0212,0.9024
NHAC_TRINH,102,4.8471,1.6608,20.88,1.6631,1.39,1.6026
ROCK,152,3.2631,1.1181,14.06,1.1161,1.1387,1.1021
RB_SOUL,148,3.3507,1.1481,14.44,1.1462,1.154,1.1297
OTHER,70,7.0317,2.4094,30.3,2.4234,1.6779,2.2987
CHILDREN,121,4.0922,1.4022,17.63,1.402,1.2762,1.3636
