,POP_BALLAD,BOLERO_TRUTINH,INSTRUMENTAL,RAP_HIPHOP,FOLK_TRADITIONAL,DANCE_EDM,REVOLUTIONARY,NHAC_TRINH,ROCK,RB_SOUL,OTHER,CHILDREN
POP_BALLAD,378.6,26.8,9.0,3.4,2.4,7.8,6.4,18.6,6.2,0.0,0.0,1.8
BOLERO_TRUTINH,57.6,48.4,6.0,0.0,2.4,0.6,1.6,3.2,1.0,0.0,0.0,1.2
INSTRUMENTAL,10.0,13.0,5.6,0.0,28.4,0.2,2.4,4.8,1.6,0.0,0.0,0.0
RAP_HIPHOP,14.0,0.0,0.0,5.0,0.0,0.0,2.8,8.4,2.8,0.0,0.0,0.0
FOLK_TRADITIONAL,4.8,8.6,2.4,0.0,366.4,0.0,5.8,10.2,4.2,1.6,0.0,1.0
DANCE_EDM,17.0,0.6,0.0,0.0,0.0,3.4,1.6,4.8,1.6,0.0,0.0,0.0
REVOLUTIONARY,0.8,0.0,1.0,0.0,19.2,0.0,4.6,11.4,3.8,0.0,0.0,0.2
NHAC_TRINH,1.8,0.4,0.6,0.0,0.2,0.0,3.8,11.4,3.8,0.0,0.0,0.0
ROCK,2.6,0.4,0.8,0.0,9.8,0.0,3.6,10.8,3.6,0.2,0.0,0.2
RB_SOUL,2.0,0.0,0.0,0.0,8.8,0.0,4.4,12.6,4.2,0.0,0.0,0.0
OTHER,1.0,0.0,0.0,0.0,0.0,0.0,2.8,8.4,2.8,0.0,0.0,0.0
CHILDREN,5.8,3.2,0.4,0.0,11.0,0.0,0.4,1.2,0.4,0.0,0.0,3.6
