,POP_BALLAD,BOLERO_TRUTINH,INSTRUMENTAL,RAP_HIPHOP,FOLK_TRADITIONAL,DANCE_EDM,REVOLUTIONARY,NHAC_TRINH,ROCK,RB_SOUL,OTHER,CHILDREN
POP_BALLAD,307.8,42.2,22.4,26.0,0.4,14.0,1.0,24.8,0.0,0.2,20.0,2.2
BOLERO_TRUTINH,26.2,66.2,13.4,0.6,0.0,1.8,0.8,4.2,0.0,0.0,8.2,0.6
INSTRUMENTAL,5.6,14.0,8.8,0.0,28.6,0.4,0.0,6.4,0.0,0.2,1.6,0.4
RAP_HIPHOP,7.2,0.6,0.0,9.4,0.0,0.0,0.0,11.2,0.0,0.0,4.6,0.0
FOLK_TRADITIONAL,0.6,12.0,6.8,0.0,361.2,0.0,0.4,13.6,0.2,3.8,4.0,2.4
DANCE_EDM,14.8,1.6,0.2,1.4,0.0,3.0,0.0,6.4,0.0,0.0,1.6,0.0
REVOLUTIONARY,0.4,0.2,1.4,0.0,18.8,0.0,1.0,15.2,0.0,0.0,3.8,0.2
NHAC_TRINH,0.2,1.2,1.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,4.4,0.0
ROCK,2.8,0.0,1.2,0.0,9.8,0.0,0.0,14.4,0.0,0.2,3.6,0.0
RB_SOUL,1.2,0.2,0.0,0.0,9.0,0.0,0.0,16.8,0.0,0.0,4.8,0.0
OTHER,0.2,0.2,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,3.4,0.0
CHILDREN,2.0,4.4,0.6,0.0,11.0,0.0,0.0,1.6,0.0,0.0,1.6,4.8
