,POP_BALLAD,BOLERO_TRUTINH,INSTRUMENTAL,RAP_HIPHOP,FOLK_TRADITIONAL,DANCE_EDM,REVOLUTIONARY,NHAC_TRINH,ROCK,RB_SOUL,OTHER,CHILDREN
POP_BALLAD,345.4,37.4,8.4,5.0,0.6,7.4,1.4,18.6,0.0,0.0,35.4,1.4
BOLERO_TRUTINH,32.4,64.2,5.4,0.0,0.4,0.8,0.8,4.0,0.0,0.0,14.0,0.0
INSTRUMENTAL,7.2,18.2,5.2,0.0,23.4,0.0,1.0,4.8,0.0,1.0,3.2,2.0
RAP_HIPHOP,9.0,0.2,0.0,6.8,0.0,0.0,0.0,8.4,0.0,0.0,8.6,0.0
FOLK_TRADITIONAL,1.0,11.2,19.4,0.0,308.8,0.0,10.6,10.2,4.0,9.2,7.8,22.8
DANCE_EDM,15.8,1.6,0.2,0.4,0.0,3.0,0.0,4.8,0.0,0.0,3.2,0.0
REVOLUTIONARY,1.0,0.4,1.2,0.0,15.4,0.0,2.0,11.4,0.2,0.8,7.6,1.0
NHAC_TRINH,0.6,1.0,0.4,0.0,0.0,0.0,0.0,11.4,0.0,0.0,8.6,0.0
ROCK,2.8,0.4,0.8,0.0,8.8,0.2,0.0,10.8,0.0,0.8,7.2,0.2
RB_SOUL,1.0,0.0,0.0,0.0,8.8,0.0,0.2,12.6,0.0,0.0,9.4,0.0
OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,6.6,0.0
CHILDREN,3.6,4.6,0.6,0.0,9.0,0.2,0.0,1.2,0.0,0.0,2.8,4.0
