,POP_BALLAD,BOLERO_TRUTINH,INSTRUMENTAL,RAP_HIPHOP,FOLK_TRADITIONAL,DANCE_EDM,REVOLUTIONARY,NHAC_TRINH,ROCK,RB_SOUL,OTHER,CHILDREN
POP_BALLAD,352.8,31.8,6.2,7.2,0.4,5.8,0.0,0.0,0.0,0.0,54.0,2.8
BOLERO_TRUTINH,41.2,55.4,5.4,0.0,0.2,0.4,1.0,1.0,0.0,0.0,17.0,0.4
INSTRUMENTAL,11.2,14.6,6.6,0.0,19.0,0.2,1.0,0.0,1.6,2.2,8.0,1.6
RAP_HIPHOP,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
FOLK_TRADITIONAL,2.0,10.6,40.4,0.0,252.8,0.0,18.0,0.0,23.8,20.0,18.0,19.4
DANCE_EDM,16.8,1.4,0.0,0.4,0.0,2.4,0.0,0.0,0.0,0.0,8.0,0.0
REVOLUTIONARY,0.6,0.2,2.6,0.0,15.0,0.0,1.8,0.0,1.0,0.4,19.0,0.4
NHAC_TRINH,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
ROCK,3.0,0.0,1.0,0.0,8.2,0.2,0.0,0.0,0.6,1.0,18.0,0.0
RB_SOUL,1.0,0.0,1.2,0.0,6.6,0.0,0.6,0.0,0.4,0.0,22.0,0.2
OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
CHILDREN,3.6,3.6,0.6,0.0,8.2,0.0,0.6,0.0,0.0,0.8,4.0,4.6
