Strategy,Genre,Tier,Precision_Mean,Recall_Mean,F1_Mean,F1_Std
Strategy_A,POP_BALLAD,HEAD,76.41,82.13,79.13,0.9
Strategy_A,BOLERO_TRUTINH,HEAD,48.11,39.67,42.95,4.51
Strategy_A,INSTRUMENTAL,MEDIUM,22.08,8.48,12.2,2.11
Strategy_A,RAP_HIPHOP,MEDIUM,60.4,15.15,24.17,3.14
Strategy_A,FOLK_TRADITIONAL,HEAD,81.67,90.47,85.83,1.45
Strategy_A,DANCE_EDM,TAIL,32.91,11.72,16.57,2.81
Strategy_A,REVOLUTIONARY,MEDIUM,49.83,11.22,6.97,5.3
Strategy_A,NHAC_TRINH,TAIL,6.47,51.82,11.5,9.39
Strategy_A,ROCK,TAIL,2.05,11.25,3.46,6.92
Strategy_A,RB_SOUL,TAIL,0.0,0.0,0.0,0.0
Strategy_A,OTHER,TAIL,0.0,0.0,0.0,0.0
Strategy_A,CHILDREN,TAIL,52.89,13.85,20.58,4.85
Strategy_B,POP_BALLAD,HEAD,84.04,66.77,73.55,7.09
Strategy_B,BOLERO_TRUTINH,HEAD,46.93,54.26,49.58,3.93
Strategy_B,INSTRUMENTAL,MEDIUM,15.97,13.33,13.79,4.63
Strategy_B,RAP_HIPHOP,MEDIUM,44.79,28.48,29.34,7.68
Strategy_B,FOLK_TRADITIONAL,HEAD,82.28,89.19,85.56,2.53
Strategy_B,DANCE_EDM,TAIL,15.75,10.34,11.6,6.06
Strategy_B,REVOLUTIONARY,MEDIUM,35.67,2.44,4.53,0.12
Strategy_B,NHAC_TRINH,TAIL,8.62,69.09,15.33,7.67
Strategy_B,ROCK,TAIL,0.0,0.0,0.0,0.0
Strategy_B,RB_SOUL,TAIL,0.0,0.0,0.0,0.0
Strategy_B,OTHER,TAIL,2.95,22.67,4.97,5.02
Strategy_B,CHILDREN,TAIL,54.34,18.46,26.42,5.25
Strategy_C,POP_BALLAD,HEAD,82.43,74.92,78.43,0.55
Strategy_C,BOLERO_TRUTINH,HEAD,46.08,52.62,49.02,3.09
Strategy_C,INSTRUMENTAL,MEDIUM,13.25,7.88,9.53,1.45
Strategy_C,RAP_HIPHOP,MEDIUM,60.5,20.61,29.82,6.21
Strategy_C,FOLK_TRADITIONAL,HEAD,82.27,76.25,78.96,4.34
Strategy_C,DANCE_EDM,TAIL,26.84,10.34,14.66,2.23
Strategy_C,REVOLUTIONARY,MEDIUM,15.2,4.88,6.7,2.06
Strategy_C,NHAC_TRINH,TAIL,6.44,51.82,11.46,9.35
Strategy_C,ROCK,TAIL,0.0,0.0,0.0,0.0
Strategy_C,RB_SOUL,TAIL,0.0,0.0,0.0,0.0
Strategy_C,OTHER,TAIL,4.09,44.0,7.14,4.59
Strategy_C,CHILDREN,TAIL,15.04,15.38,13.83,3.03
Strategy_D,POP_BALLAD,HEAD,79.74,76.53,77.92,2.27
Strategy_D,BOLERO_TRUTINH,HEAD,47.1,45.41,45.94,2.33
Strategy_D,INSTRUMENTAL,MEDIUM,10.2,10.0,10.03,2.06
Strategy_D,RAP_HIPHOP,MEDIUM,70.55,18.18,24.75,3.48
Strategy_D,FOLK_TRADITIONAL,HEAD,81.05,62.42,69.62,11.17
Strategy_D,DANCE_EDM,TAIL,28.41,8.28,12.62,2.38
Strategy_D,REVOLUTIONARY,MEDIUM,10.23,4.39,5.34,2.21
Strategy_D,NHAC_TRINH,TAIL,0.0,0.0,0.0,0.0
Strategy_D,ROCK,TAIL,0.63,1.88,0.94,1.89
Strategy_D,RB_SOUL,TAIL,0.0,0.0,0.0,0.0
Strategy_D,OTHER,TAIL,6.82,100.0,12.77,0.0
Strategy_D,CHILDREN,TAIL,19.39,17.69,17.44,7.11
