Genre,Tier,Train_N,Val_N,Test_N,Train_Pct,Inverse_Class_Weight,Uniform_Exp_Batch,Uniform_Prob_Zero_Batch,Weighted_Exp_Batch,Weighted_Prob_Zero_Batch
POP_BALLAD,HEAD (Majority),2150,461,461,35.89,0.232,22.97,0.00%,5.33,0.38%
FOLK_TRADITIONAL,HEAD (Majority),1890,405,405,31.55,0.264,20.19,0.00%,5.33,0.38%
BOLERO_TRUTINH,HEAD (Majority),570,122,122,9.51,0.876,6.09,0.17%,5.33,0.38%
INSTRUMENTAL,MEDIUM (Body),307,66,66,5.12,1.626,3.28,3.45%,5.33,0.38%
REVOLUTIONARY,MEDIUM (Body),189,40,41,3.15,2.642,2.02,12.85%,5.33,0.38%
RAP_HIPHOP,MEDIUM (Body),155,33,33,2.59,3.221,1.66,18.68%,5.33,0.38%
ROCK,TAIL (Minority),152,33,32,2.54,3.285,1.62,19.31%,5.33,0.38%
RB_SOUL,TAIL (Minority),148,32,32,2.47,3.373,1.58,20.17%,5.33,0.38%
DANCE_EDM,TAIL (Minority),137,30,29,2.29,3.644,1.46,22.75%,5.33,0.38%
CHILDREN,TAIL (Minority),121,26,26,2.02,4.126,1.29,27.09%,5.33,0.38%
NHAC_TRINH,TAIL (Minority),102,21,22,1.7,4.895,1.09,33.32%,5.33,0.38%
OTHER,TAIL (Minority),70,15,15,1.17,7.132,0.75,47.13%,5.33,0.38%
