Genre,Total_Samples,Physical_Lyrics_Count,Physical_Lyrics_Pct,Avg_Word_Count,Avg_Char_Count,Vietnamese_Diacritics_Count,Vietnamese_Diacritics_Pct,Physical_Gap
POP_BALLAD,3031,2726,89.94,379.8,1618.2,2726,100.0,305
BOLERO_TRUTINH,807,694,86.0,325.3,1417.9,694,100.0,113
INSTRUMENTAL,287,217,75.61,294.8,1277.6,217,100.0,70
RAP_HIPHOP,221,111,50.23,581.8,2471.4,111,100.0,110
FOLK_TRADITIONAL,200,82,41.0,317.9,1381.6,82,100.0,118
DANCE_EDM,193,149,77.2,388.8,1659.9,149,100.0,44
REVOLUTIONARY,170,23,13.53,290.1,1273.2,23,100.0,147
NHAC_TRINH,145,12,8.28,330.2,1426.6,12,100.0,133
ROCK,137,15,10.95,260.4,1127.7,15,100.0,122
RB_SOUL,132,14,10.61,432.1,1824.2,14,100.0,118
CHILDREN,93,74,79.57,284.1,1213.2,74,100.0,19
