Class,Total_N,Lyrics_N,Lyrics_Pct,Cover_N,Cover_Pct,Audio_N,Audio_Pct,Status
POP_BALLAD,3031,2726,89.94,587,19.37,0,0.0,PASS
BOLERO_TRUTINH,807,694,86.0,167,20.69,0,0.0,PASS
INSTRUMENTAL,287,217,75.61,44,15.33,0,0.0,PASS
RAP_HIPHOP,221,111,50.23,21,9.5,0,0.0,PASS
FOLK_TRADITIONAL,200,82,41.0,18,9.0,0,0.0,PASS
DANCE_EDM,193,149,77.2,21,10.88,0,0.0,PASS
REVOLUTIONARY,170,23,13.53,4,2.35,0,0.0,PASS
NHAC_TRINH,145,12,8.28,2,1.38,0,0.0,PASS
ROCK,137,15,10.95,6,4.38,0,0.0,PASS
RB_SOUL,132,14,10.61,4,3.03,0,0.0,PASS
OTHER,99,0,0.0,14,14.14,0,0.0,WARNING (0 Lyrics)
CHILDREN,93,74,79.57,14,15.05,0,0.0,PASS
