Method,Split,Seed_42,Seed_123,Seed_2026,Mean_Macro_F1,Std_Macro_F1,Min_Macro_F1,Max_Macro_F1,Mean_Accuracy,Mean_Balanced_Acc
Baseline,iid,0.25783627620794103,0.25783627620794103,0.25783627620794103,0.25783627620794103,0.0,0.25783627620794103,0.25783627620794103,0.4888888888888889,0.2806569729256807
Proposed (UAD-Fusion),iid,0.26437819879982916,0.26437696236828123,0.2626410514696025,0.26379873754590427,0.000818607830664578,0.2626410514696025,0.26437819879982916,0.5238683127572016,0.2757397531617143
Baseline,artist_disjoint,0.20904887813739215,0.20904887813739215,0.20904887813739215,0.20904887813739215,0.0,0.20904887813739215,0.20904887813739215,0.4799498746867168,0.243010487651636
Proposed (UAD-Fusion),artist_disjoint,0.22304336013773787,0.2497686728376757,0.22358953222805342,0.23213385506782233,0.01247169259616919,0.22304336013773787,0.2497686728376757,0.4665831244778613,0.2790802317426087
Baseline,missing_modality,0.1661727723235091,0.1661727723235091,0.1661727723235091,0.1661727723235091,0.0,0.1661727723235091,0.1661727723235091,0.5207336523125997,0.1748883524253687
Proposed (UAD-Fusion),missing_modality,0.16166580850341747,0.18007527807493293,0.16218255924954522,0.16797454860929853,0.008559108132422838,0.16166580850341747,0.18007527807493293,0.5061137692716641,0.18302747961619847
Baseline,label_shift,0.2505321892339347,0.2505321892339347,0.2505321892339347,0.2505321892339347,0.0,0.2505321892339347,0.2505321892339347,0.36381514257620456,0.27260428745386583
Proposed (UAD-Fusion),label_shift,0.25358703301297464,0.23127655570018327,0.24291180113153968,0.24259179661489919,0.009111024517917742,0.23127655570018327,0.25358703301297464,0.3395607997377909,0.26436953959126663
Baseline,temporal,0.15727973888350297,0.15727973888350297,0.15727973888350297,0.15727973888350297,0.0,0.15727973888350297,0.15727973888350297,0.2127659574468085,0.23126862494678582
Proposed (UAD-Fusion),temporal,0.1560947720804154,0.14024501552306765,0.11368047838997218,0.1366734219978184,0.017498767338434525,0.11368047838997218,0.1560947720804154,0.17553191489361705,0.21632882514108567
