genre,sample_count,percentage,unique_artists,physical_lyrics,physical_covers,physical_audio,verified_years
POP_BALLAD,3031,54.96,1890,2726,587,0,35
BOLERO_TRUTINH,807,14.63,501,694,167,0,8
INSTRUMENTAL,287,5.2,141,217,44,0,42
RAP_HIPHOP,221,4.01,111,111,21,0,106
FOLK_TRADITIONAL,200,3.63,77,82,18,0,88
DANCE_EDM,193,3.5,139,149,21,0,40
REVOLUTIONARY,170,3.08,31,23,4,0,109
NHAC_TRINH,145,2.63,23,12,2,0,96
ROCK,137,2.48,20,15,6,0,120
RB_SOUL,132,2.39,27,14,4,0,112
OTHER,99,1.8,54,0,14,0,2
CHILDREN,93,1.69,41,74,14,0,12
