drop_rate,drop_rate_pct,baseline_accuracy,baseline_macro_f1,proposed_accuracy,proposed_macro_f1,f1_delta,advantage
0.0,0,0.4939613526570048,0.2410933549354653,0.5060386473429952,0.2134274625396529,-0.0276658923958124,BASELINE
0.1,10,0.4516908212560386,0.2192895088690019,0.463768115942029,0.1963195626488235,-0.0229699462201783,BASELINE
0.2,20,0.4021739130434782,0.1970222459931367,0.4094202898550724,0.1711823546720822,-0.0258398913210544,BASELINE
0.3,30,0.3635265700483092,0.1820054111994623,0.3683574879227053,0.1586456411217468,-0.0233597700777155,BASELINE
0.4,40,0.3128019323671497,0.164237047578569,0.323671497584541,0.1474571720169759,-0.0167798755615931,BASELINE
0.5,50,0.2681159420289855,0.1448602149557837,0.2777777777777778,0.1254926931910863,-0.0193675217646973,BASELINE
0.6,60,0.217391304347826,0.1281812304922102,0.2282608695652173,0.1145795786364574,-0.0136016518557527,BASELINE
0.7,70,0.1642512077294686,0.1075232828839309,0.1714975845410628,0.0999204941724424,-0.0076027887114885,BASELINE
0.8,80,0.109903381642512,0.0709132018420292,0.108695652173913,0.0606500170497982,-0.010263184792231,BASELINE
0.9,90,0.0652173913043478,0.0387233506956427,0.0615942028985507,0.0229346180421021,-0.0157887326535405,BASELINE
1.0,100,0.0265700483091787,0.004313725490196,0.0241545893719806,0.0039308176100628,-0.0003829078801331,BASELINE
