genre,baseline_precision,baseline_recall,baseline_f1,proposed_precision,proposed_recall,proposed_f1,support,f1_delta
POP_BALLAD,0.8576158940397351,0.5692307692307692,0.6842800528401585,0.818407960199005,0.7230769230769231,0.7677946324387398,455,0.0835145795985813
BOLERO_TRUTINH,0.5922330097087378,0.5041322314049587,0.5446428571428571,0.6063829787234043,0.4710743801652892,0.5302325581395348,121,-0.0144102990033222
INSTRUMENTAL,0.2580645161290322,0.3720930232558139,0.3047619047619048,0.2280701754385964,0.3023255813953488,0.26,43,-0.0447619047619047
RAP_HIPHOP,0.2181818181818181,0.3636363636363636,0.2727272727272727,0.4166666666666667,0.1515151515151515,0.2222222222222222,33,-0.0505050505050505
FOLK_TRADITIONAL,0.0555555555555555,0.0333333333333333,0.0416666666666666,0.0714285714285714,0.0333333333333333,0.0454545454545454,30,0.0037878787878787
DANCE_EDM,0.0754716981132075,0.1379310344827586,0.0975609756097561,0.0769230769230769,0.0689655172413793,0.0727272727272727,29,-0.0248337028824833
REVOLUTIONARY,0.75,0.1153846153846153,0.2,1.0,0.0384615384615384,0.074074074074074,26,-0.1259259259259259
NHAC_TRINH,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0
ROCK,0.1024096385542168,0.85,0.1827956989247312,0.0,0.0,0.0,20,-0.1827956989247312
RB_SOUL,0.0,0.0,0.0,0.108433734939759,0.9,0.1935483870967742,20,0.1935483870967742
OTHER,0.0465116279069767,0.1333333333333333,0.0689655172413793,0.025,0.0666666666666666,0.0363636363636363,15,-0.0326018808777429
CHILDREN,0.2727272727272727,0.4285714285714285,0.3333333333333333,0.3125,0.3571428571428571,0.3333333333333333,14,0.0
