Genre,Support,Baseline_Precision,Baseline_Recall,Baseline_F1,Proposed_Precision,Proposed_Recall,Proposed_F1,Delta_F1,Status
RB_SOUL,20,0.10606060606060606,0.35,0.16279069767441862,0.21739130434782608,0.25,0.23255813953488372,0.0697674418604651,Improved
ROCK,20,0.13793103448275862,0.2,0.16326530612244897,0.15625,0.25,0.19230769230769232,0.029042386185243352,Improved
DANCE_EDM,29,0.03571428571428571,0.06896551724137931,0.047058823529411764,0.04580152671755725,0.20689655172413793,0.075,0.027941176470588233,Improved
RAP_HIPHOP,33,0.2608695652173913,0.18181818181818182,0.21428571428571427,0.22857142857142856,0.24242424242424243,0.23529411764705882,0.021008403361344546,Improved
INSTRUMENTAL,43,0.25675675675675674,0.4418604651162791,0.3247863247863248,0.2835820895522388,0.4418604651162791,0.34545454545454546,0.02066822066822066,Improved
FOLK_TRADITIONAL,30,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.16,0.13333333333333333,0.14545454545454545,0.012121212121212116,Improved
NHAC_TRINH,21,0.045454545454545456,0.047619047619047616,0.046511627906976744,0.0625,0.047619047619047616,0.05405405405405406,0.0075424261470773135,Improved
CHILDREN,14,0.4166666666666667,0.35714285714285715,0.38461538461538464,0.5714285714285714,0.2857142857142857,0.38095238095238093,-0.0036630036630037055,Degraded
POP_BALLAD,454,0.8562874251497006,0.6299559471365639,0.7258883248730964,0.8,0.6255506607929515,0.7021013597033374,-0.023786965169758978,Degraded
REVOLUTIONARY,25,0.14814814814814814,0.16,0.15384615384615385,0.08571428571428572,0.12,0.1,-0.05384615384615385,Degraded
BOLERO_TRUTINH,121,0.48360655737704916,0.48760330578512395,0.48559670781893005,0.5238095238095238,0.36363636363636365,0.4292682926829268,-0.05632841513600323,Degraded
