Class,Min_Year,Max_Year,Median_Year,N_le_2018,N_2019_2020,N_ge_2021,N_Missing
POP_BALLAD,2006,2024,2020.0,11,8,16,2996
BOLERO_TRUTINH,2000,2024,2023.0,1,0,7,799
INSTRUMENTAL,1991,2025,2003.0,36,2,4,245
RAP_HIPHOP,1983,2026,2022.0,37,11,58,115
FOLK_TRADITIONAL,1989,2024,2007.0,77,2,9,112
DANCE_EDM,1996,2025,2020.0,16,6,18,153
REVOLUTIONARY,1997,2024,2010.0,101,3,5,61
NHAC_TRINH,1974,2020,2003.0,95,1,0,49
ROCK,1997,2024,2009.5,92,15,13,17
RB_SOUL,1967,2026,2021.0,48,6,58,20
OTHER,2022,2022,2022.0,0,0,2,97
CHILDREN,2004,2008,2004.0,12,0,0,81
