Class,Total_N,Lyrics_N,Lyrics_Pct,Cover_N,Cover_Pct,Audio_N,Audio_Pct,Year_Known_N,Year_Known_Pct,N_ge_2021,Artist_Count,Quality_Score,Quality_Grade
POP_BALLAD,3072,2726,88.74,587,19.11,0,0.0,35,1.14,16,1911,65.3,TIER_B (Moderate Reliability)
BOLERO_TRUTINH,814,694,85.26,167,20.52,0,0.0,8,0.98,7,503,60.1,TIER_B (Moderate Reliability)
INSTRUMENTAL,289,217,75.09,44,15.22,0,0.0,42,14.53,4,143,55.0,TIER_B (Moderate Reliability)
RAP_HIPHOP,221,111,50.23,21,9.5,0,0.0,106,47.96,58,111,63.6,TIER_B (Moderate Reliability)
FOLK_TRADITIONAL,200,82,41.0,18,9.0,0,0.0,88,44.0,9,77,58.9,TIER_B (Moderate Reliability)
DANCE_EDM,196,149,76.02,21,10.71,0,0.0,40,20.41,18,141,64.2,TIER_B (Moderate Reliability)
REVOLUTIONARY,170,23,13.53,4,2.35,0,0.0,109,64.12,5,31,45.3,TIER_B (Moderate Reliability)
NHAC_TRINH,145,12,8.28,2,1.38,0,0.0,96,66.21,0,23,33.6,TIER_C (Sparse Modality / Historic Only)
ROCK,137,15,10.95,6,4.38,0,0.0,120,87.59,13,20,53.0,TIER_B (Moderate Reliability)
RB_SOUL,132,14,10.61,4,3.03,0,0.0,112,84.85,58,27,51.6,TIER_B (Moderate Reliability)
OTHER,100,0,0.0,14,14.0,0,0.0,2,2.0,2,54,18.0,TIER_C (Sparse Modality / Historic Only)
CHILDREN,93,74,79.57,14,15.05,0,0.0,12,12.9,0,41,36.4,TIER_C (Sparse Modality / Historic Only)
