Class,V1_Samples,V1_Pct,V2_Samples,V2_Pct,V3_Samples,V3_Pct,Net_Delta_V1_to_V3
POP_BALLAD,3031,54.96,3072,55.16,3072,55.16,41
BOLERO_TRUTINH,807,14.63,814,14.62,814,14.62,7
INSTRUMENTAL,287,5.2,289,5.19,289,5.19,2
RAP_HIPHOP,221,4.01,221,3.97,221,3.97,0
FOLK_TRADITIONAL,200,3.63,200,3.59,200,3.59,0
DANCE_EDM,193,3.5,196,3.52,196,3.52,3
REVOLUTIONARY,170,3.08,170,3.05,170,3.05,0
NHAC_TRINH,145,2.63,145,2.6,145,2.6,0
ROCK,137,2.48,137,2.46,137,2.46,0
RB_SOUL,132,2.39,132,2.37,132,2.37,0
OTHER,99,1.8,100,1.8,100,1.8,1
CHILDREN,93,1.69,93,1.67,93,1.67,0
