drop_rate,drop_rate_pct,baseline_accuracy,baseline_macro_f1,proposed_accuracy,proposed_macro_f1,f1_delta,advantage
0.0,0,0.4939613526570048,0.24109335493546535,0.5060386473429952,0.21342746253965295,-0.027665892395812408,BASELINE
0.1,10,0.45169082125603865,0.21928950886900192,0.463768115942029,0.19631956264882355,-0.022969946220178367,BASELINE
0.2,20,0.40217391304347827,0.1970222459931367,0.40942028985507245,0.17118235467208223,-0.025839891321054465,BASELINE
0.3,30,0.3635265700483092,0.1820054111994623,0.36835748792270534,0.1586456411217468,-0.023359770077715503,BASELINE
0.4,40,0.31280193236714976,0.16423704757856902,0.32367149758454106,0.14745717201697592,-0.016779875561593105,BASELINE
0.5,50,0.26811594202898553,0.1448602149557837,0.2777777777777778,0.12549269319108633,-0.01936752176469736,BASELINE
0.6,60,0.21739130434782608,0.1281812304922102,0.22826086956521738,0.11457957863645744,-0.013601651855752753,BASELINE
0.7,70,0.1642512077294686,0.10752328288393098,0.17149758454106281,0.09992049417244246,-0.00760278871148852,BASELINE
0.8,80,0.10990338164251208,0.07091320184202927,0.10869565217391304,0.06065001704979823,-0.010263184792231046,BASELINE
0.9,90,0.06521739130434782,0.03872335069564271,0.06159420289855073,0.02293461804210214,-0.015788732653540565,BASELINE
1.0,100,0.026570048309178744,0.004313725490196078,0.024154589371980676,0.003930817610062893,-0.0003829078801331851,BASELINE
