Context,Modality,Mean_Weight,Std_Weight,Median_Weight,Min_Weight,Max_Weight
Full Modality (IID),Audio,0.5738096237182617,0.21022002398967743,0.5,1.831563878340603e-08,1.0
Full Modality (IID),Lyrics,0.3601410388946533,0.21115383505821228,0.5,9.157819391703015e-09,0.7046837210655212
Full Modality (IID),Cover,0.06604938209056854,0.15268389880657196,9.157819391703015e-09,9.157819391703015e-09,0.9999999403953552
Missing Modality Split,Audio,0.5909075140953064,0.2059406042098999,0.5,9.157819391703015e-09,1.0
Missing Modality Split,Lyrics,0.3650273084640503,0.21792803704738617,0.5,9.157819391703015e-09,0.7046837210655212
Missing Modality Split,Cover,0.044065192341804504,0.138417050242424,9.157819391703015e-09,9.157819391703015e-09,0.9999999403953552
Artist-Disjoint Shift,Audio,0.5902107357978821,0.22211645543575287,0.5,9.157819391703015e-09,1.0
Artist-Disjoint Shift,Lyrics,0.35247328877449036,0.21941198408603668,0.5,9.157819391703015e-09,1.0
Artist-Disjoint Shift,Cover,0.057315997779369354,0.14226475358009338,9.157819391703015e-09,9.157819391703015e-09,0.5
Temporal Shift,Audio,0.9299644827842712,0.1802133023738861,1.0,0.3333333134651184,1.0
Temporal Shift,Lyrics,0.06028369814157486,0.1591404527425766,1.831563878340603e-08,9.157819391703015e-09,0.5
Temporal Shift,Cover,0.009751790203154087,0.05998963490128517,1.831563878340603e-08,9.157819391703015e-09,0.5
