Split,Class,Train_N,Train_Pct,Val_N,Val_Pct,Test_N,Test_Pct,Total_N,Status
IID,POP_BALLAD,2121,54.95,455,55.02,455,54.95,3031,PASS
IID,BOLERO_TRUTINH,565,14.64,121,14.63,121,14.61,807,PASS
IID,INSTRUMENTAL,201,5.21,43,5.2,43,5.19,287,PASS
IID,RAP_HIPHOP,155,4.02,33,3.99,33,3.99,221,PASS
IID,FOLK_TRADITIONAL,140,3.63,30,3.63,30,3.62,200,PASS
IID,DANCE_EDM,135,3.5,29,3.51,29,3.5,193,PASS
IID,REVOLUTIONARY,119,3.08,25,3.02,26,3.14,170,PASS
IID,NHAC_TRINH,102,2.64,21,2.54,22,2.66,145,PASS
IID,ROCK,96,2.49,21,2.54,20,2.42,137,PASS
IID,RB_SOUL,92,2.38,20,2.42,20,2.42,132,PASS
IID,OTHER,69,1.79,15,1.81,15,1.81,99,PASS
IID,CHILDREN,65,1.68,14,1.69,14,1.69,93,PASS
Artist Disjoint,POP_BALLAD,2119,54.9,463,55.99,449,54.23,3031,PASS
Artist Disjoint,BOLERO_TRUTINH,569,14.74,130,15.72,108,13.04,807,PASS
Artist Disjoint,INSTRUMENTAL,159,4.12,50,6.05,78,9.42,287,PASS
Artist Disjoint,RAP_HIPHOP,161,4.17,40,4.84,20,2.42,221,PASS
Artist Disjoint,FOLK_TRADITIONAL,161,4.17,18,2.18,21,2.54,200,PASS
Artist Disjoint,DANCE_EDM,145,3.76,29,3.51,19,2.29,193,PASS
Artist Disjoint,REVOLUTIONARY,136,3.52,16,1.93,18,2.17,170,PASS
Artist Disjoint,NHAC_TRINH,85,2.2,10,1.21,50,6.04,145,PASS
Artist Disjoint,ROCK,105,2.72,16,1.93,16,1.93,137,PASS
Artist Disjoint,RB_SOUL,95,2.46,28,3.39,9,1.09,132,WARNING (Test < 10)
Artist Disjoint,OTHER,74,1.92,13,1.57,12,1.45,99,PASS
Artist Disjoint,CHILDREN,51,1.32,14,1.69,28,3.38,93,PASS
Temporal Shift,POP_BALLAD,11,2.09,8,14.81,16,8.42,35,WARNING (Train < 20)
Temporal Shift,BOLERO_TRUTINH,1,0.19,0,0.0,7,3.68,8,CRITICAL (Val=0)
Temporal Shift,INSTRUMENTAL,36,6.84,2,3.7,4,2.11,42,CRITICAL (Test < 5)
Temporal Shift,RAP_HIPHOP,37,7.03,11,20.37,58,30.53,106,PASS
Temporal Shift,FOLK_TRADITIONAL,77,14.64,2,3.7,9,4.74,88,WARNING (Test < 10)
Temporal Shift,DANCE_EDM,16,3.04,6,11.11,18,9.47,40,WARNING (Train < 20)
Temporal Shift,REVOLUTIONARY,101,19.2,3,5.56,5,2.63,109,WARNING (Test < 10)
Temporal Shift,NHAC_TRINH,95,18.06,1,1.85,0,0.0,96,CRITICAL (Test=0)
Temporal Shift,ROCK,92,17.49,15,27.78,13,6.84,120,PASS
Temporal Shift,RB_SOUL,48,9.13,6,11.11,58,30.53,112,PASS
Temporal Shift,OTHER,0,0.0,0,0.0,2,1.05,2,CRITICAL (Train=0)
Temporal Shift,CHILDREN,12,2.28,0,0.0,0,0.0,12,CRITICAL (Val=0)
Label Shift,POP_BALLAD,2364,59.16,303,51.88,364,38.93,3031,PASS
Label Shift,BOLERO_TRUTINH,629,15.74,81,13.87,97,10.37,807,PASS
Label Shift,INSTRUMENTAL,172,4.3,34,5.82,81,8.66,287,PASS
Label Shift,RAP_HIPHOP,132,3.3,27,4.62,62,6.63,221,PASS
Label Shift,FOLK_TRADITIONAL,120,3.0,24,4.11,56,5.99,200,PASS
Label Shift,DANCE_EDM,115,2.88,23,3.94,55,5.88,193,PASS
Label Shift,REVOLUTIONARY,102,2.55,20,3.42,48,5.13,170,PASS
Label Shift,NHAC_TRINH,87,2.18,17,2.91,41,4.39,145,PASS
Label Shift,ROCK,82,2.05,16,2.74,39,4.17,137,PASS
Label Shift,RB_SOUL,79,1.98,16,2.74,37,3.96,132,PASS
Label Shift,OTHER,59,1.48,12,2.05,28,2.99,99,PASS
Label Shift,CHILDREN,55,1.38,11,1.88,27,2.89,93,PASS
