genre,total_samples,verified_year_count,temporal_coverage_pct,earliest_year,latest_year,median_year
ROCK,137,120,87.59,1997,2024,2009
RB_SOUL,132,112,84.85,1967,2026,2021
NHAC_TRINH,145,96,66.21,1974,2020,2003
REVOLUTIONARY,170,109,64.12,1997,2024,2010
RAP_HIPHOP,221,106,47.96,1983,2026,2022
FOLK_TRADITIONAL,200,88,44.0,1989,2024,2007
DANCE_EDM,193,40,20.73,1996,2025,2020
INSTRUMENTAL,287,42,14.63,1991,2025,2003
CHILDREN,93,12,12.9,2004,2008,2004
POP_BALLAD,3031,35,1.15,2006,2024,2020
BOLERO_TRUTINH,807,8,0.99,2000,2024,2023
